,구분,업체명,전화번호,소재지,인허가번호
47,수입,베이비몽(계양점),***********,인천광역시 계양구 장기동,355000003720180040
48,수입 판매 운송,앤 펫,***********,인천광역시 서구 청라동,356000003720200023
49,수입 판매 전시 위탁관리 미용,KOZIT,***********,인천광역시 서구 청라동,356000003720190020
50,수입 판매 전시 위탁관리 미용,이카루스 팩토리,***********,인천광역시 서구 청라동,356000003720180065
51,수입 판매 전시 위탁관리 미용 운송,스퀘어독스,0325681063,인천광역시 서구 연희동,356000003720180004
52,수입 판매,루하,-,인천광역시 서구 연희동,356000003720180001
54,수입,쭌이네,***********,광주광역시 동구 산수동,359000003720200003
55,수입 판매,CATS,***********,대전광역시 서구 변동,366000003720160007
56,수입,유성동양애견,042-822-5114,대전광역시 유성구 갑동,367000003720140031
57,수입,포유,***********,울산광역시 중구 옥교동,369000003720190016
58,수입,레스트펫,0522380033,울산광역시 울주군 서생면 위양리,373000003720200018
59,수입,우리동네 멍이와양이,***********,경기도 의정부시 가능동,382000003720200046
60,수입,올독,***********,경기도 의정부시 민락동,382000003720200036
61,수입,서정대학교부설애완동물센터(펫인쥬),031-860-5271,경기도 의정부시 의정부동,382000003720180100
62,수입 판매,라이프 독,0323452340,경기도 부천시 역곡동,386000003720150021
63,수입 판매,갤러리캣,032-610-4523,경기도 부천시 상동,386000003720120008
64,수입,쿤이 수염을 쫓아,***********,경기도 평택시 안중읍 현화리,391000003720200050
65,수입,평택 평안 월드캣,***********,경기도 평택시 동삭동,391000003720200036
66,수입 판매,마이젤리빈,***********,경기도 동두천시 보산동,392000003720210001
67,수입,은아 펫 타운,***********,경기도 고양시 일산동구 성석동,396010003720210018
68,수입,파인크레스트리얼에스테이트파트너스주식회사,031-913-0649,경기도 고양시 일산서구 주엽동,410010003720210015
69,수입,브리돌스,***********,경기도 고양시 일산동구 식사동,394000003720200091
70,수입,M&J.PET.,***********,경기도 고양시 일산동구 마두동,394000003720200045
71,수입,드림바이오,***********,경기도 구리시 사노동,398000003720210003
72,수입,불독하우스,***********,경기도 남양주시 수동면 외방리,399000003720210029
73,수입,이그조틱 코리아,-,경기도 남양주시 수석동,399000003720180009
74,수입 전시 운송,퍼피앤유,***********,경기도 하남시 망월동,404000003720210027
75,수입,이정훈 강아지,***********,경기도 하남시 망월동,404000003720210011
76,수입,홀리몰리,-,경기도 하남시 망월동,404000003720200010
77,수입,밀크독,-,경기도 하남시 망월동,404000003720200009
78,수입,그린아이스무역,***********,경기도 용인시 기흥구 상하동,563000003720210005
79,수입 판매,루루애견용품할인매장,031-283-0702,경기도 용인시 기흥구 신갈동,563000003720080008
80,수입,LOB KENNEL,***********,경기도 파주시 광탄면 마장리,406000003720210031
81,수입,리베펫,***********,경기도 김포시 장기동,409000003720210017
82,수입,폴링인펫,***********,경기도 김포시 장기동,409000003720210010
83,수입,달콤하니 냥,***********,경기도 김포시 장기동,409000003720210012
84,수입 판매,내품안의 반려견 김포점,***********,경기도 김포시 장기동,409000003720210001
85,수입,노블펫 주식회사,***********,경기도 김포시 고촌읍 신곡리,409000003720200060
86,수입,개랑 놀려고 차린 집,***********,경기도 김포시 양촌읍 석모리,409000003720200057
87,수입,J.Kennel(제이켄넬),***********,경기도 김포시 마산동,409000003720200033
88,수입,더 불리 하우스,***********,경기도 김포시 통진읍 서암리,409000003720200021
89,수입,멀티펫24@고사남,***********,경기도 김포시 장기동,409000003720200004
90,수입,퍼피월드,031-981-0081,경기도 김포시 고촌읍 신곡리,409000003720200001
91,수입,멍커힐,***********,경기도 김포시 대곶면 약암리,409000003720190042
92,수입,호야켄넬,***********,경기도 김포시 통진읍 고정리,409000003720190024
93,수입,(주)코아스,031-997-0081,경기도 김포시 고촌읍 태리,409000003720190021
94,수입,(주)펫가,***********,경기도 김포시 고촌읍 전호리,409000003720190015
95,수입,비나리(Beenali),***********,경기도 김포시 통진읍 고정리,409000003720190005
96,수입,시바나라,***********,경기도 가평군 북면 목동리,416000003720190012
97,수입 판매 전시,냥이네 호수,***********,강원도 속초시 조양동,423000003720200007
98,수입,(주)삼양꼼빠농,033-335-0004,강원도 평창군 평창읍 종부리,428000003720210002
99,수입 판매 전시 위탁관리 미용 운송,검단켄빌,***********,강원도 평창군 대화면 하안미리,428000003720180005
100,수입,삼성애견,***********,충청남도 천안시 동남구 목천읍 삼성리,565000003720190013
101,수입 판매 위탁관리,바나바스,***********,충청남도 홍성군 금마면 화양리,460000003720180017
102,수입 판매 위탁관리,에이스 캣,***********,전라북도 전주시 덕진구 송천동1가,464000003720200015
103,수입,1%애견명가,***********,전라북도 전주시 완산구 중화산동2가,464000003720190013
104,수입 판매,mentos,***********,전라북도 익산시 여산면 여산리,468000003720170002
105,수입 판매,Mr.독,***********,전라남도 순천시 연향동,482000003720210004
106,생산 수입 판매,나주 가정견 훈련소,061-337-4567,전라남도 나주시 산포면 매성리,483000003720080002
107,수입,슈팅가이 켄넬,***********,경상북도 포항시 북구 죽도동,502000003720200017
108,수입,하늘캣,***********,경상북도 포항시 북구 용흥동,502000003720180008
109,수입,폼스키,***********,경상북도 경주시 내남면 화곡리,505000003720180022
110,수입,왕초켄넬,***********,경상북도 경주시 내남면 화곡리,505000003720180019
111,수입 판매,전지적 참견,054-454-8343,경상북도 구미시 옥계동,508000003720190017
112,수입 판매 위탁관리 미용 운송,오도꾸 애견샵,054-608-8500,경상북도 구미시 원평동,508000003720190008
113,수입 위탁관리 미용,더블유펫,054-476-6660,경상북도 구미시 진평동,508000003720180016
114,생산 수입 판매,아마존애견사,***********,경상북도 상주시 외서면 연봉리,511000003720160002
115,수입,베스트독스,***********,경상북도 칠곡군 북삼읍 보손리,522000003720180039
116,생산 수입 판매,김학봉 농장,***********,경상북도 봉화군 법전면 척곡리,524000003720170001
117,수입,에덴파크 거제점,***********,경상남도 거제시 상동동,537000003720200020
118,수입 판매 위탁관리 운송,원-헬스,***********,경상남도 의령군 가례면 가례리,539000003720190001
119,수입 판매,KGB kennel(케이지비 캔넬),***********,경상남도 함안군 산인면 신산리,540000003720180001
120,수입,퍼피움,***********,경기도 화성시 영천동,553000003720210022
121,생산 수입 판매,데비아스,***********,경기도 화성시 봉담읍 분천리,553000003720080005
122,수입,TBC KOREA,***********,경기도 양주시 율정동,559000003720160004
123,수입 판매,러블릿 캔넬,***********,경기도 여주시 대신면 윤촌리,570000003720210006
124,수입 판매,FOX KENNEL,***********,충청북도 청주시 흥덕구 봉명동,571000003720180004
