,Unnamed: 0,관할구역,보호센터명,전화번호,보호센터주소,위도,경도
87,87,대전광역시 대덕구,대전동물보호센터,042-825-1118,대전광역시 유성구 금남구즉로 1234 (금고동) 대전광역시 동물보호센터,36.4588151,127.383038
88,88,전라남도 순천시,대한동물사랑협회,061-755-7547,전라남도 순천시 상사면 민속마을길 978 (상사면) .,34.9470715,127.4877401
89,89,서울특별시,동물구조119,02-6337-0119,"서울특별시 영등포구 영중로8길 6 (영등포동3가, 성남빌딩) 비동 530호",,
90,90,부산광역시 부산진구,동물보호관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동),35.1788983,128.8997675
91,91,서울특별시,동물보호단체 다솜,02-6406-0226,서울특별시 도봉구 방학로 119 (방학동) 2층,,
92,92,대구광역시 달성군,동인동물병원,053-424-4258,대구광역시 중구 동인동4가 국채보상로 724 (동인동4가) 가창면 관할,37.6562321,127.2470101
93,93,강원도 동해시,동해시유기동물보호소,033-522-2990,"강원도 동해시 대동로 159-13 (송정동, 동해시유기동물보호소)",37.4850118,129.1190429
94,94,서울특별시 강동구,둔촌동물병원,02-474-5100,서울특별시 강동구 양재대로 1385 (성내동) 둔촌동물병원,37.5298053,127.1365795
95,95,서울특별시 동작구,디아크동물종합병원,02-816-7582,서울특별시 동작구 장승배기로27길 18 (노량진동),37.5117369,126.9391006
96,96,서울특별시 용산구,라온동물병원,02-792-7585,서울특별시 용산구 이태원동 225-93,37.5659678,126.9108041
97,97,경기도 하남시,러브펫동물병원,031-791-5775,경기도 하남시 신평로 58 (신장동) 1층,33.874133,-117.5457866
98,98,서울특별시 관악구,러브펫종합동물병원,02-837-8875,서울특별시 관악구 남부순환로 1429 (신림동),37.4816143,126.9120617
99,99,경기도 파주시,로뎀동물병원,031-952-7576,"경기도 파주시 문산읍 방촌로 1636 (문산읍, 강산설렁탕)",37.4922072,126.7906844
100,100,울산광역시 남구,리틀쥬동물의료원,052-268-8884,울산광역시 남구 봉월로 104 (신정동),35.5417225,129.3062805
101,101,경상남도 창원시 마산합포회원구,마산유기동물보호소,055-225-5481,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,35.1194157,128.4682829
102,102,서울특별시 마포구,마포구청,02-3153-8542,"서울특별시 마포구 월드컵로 212 (성산동, 마포구청) 8층 지역경제과",37.5662001,126.9016437
103,103,경상남도 의령군,만하농장,055-570-4202,경상남도 의령군 의령읍 남강로 485-75,,
104,104,대구광역시 달성군,명곡역동물병원,053-633-7579,대구광역시 달성군 화원읍 비슬로 2490 (화원읍) 옥포면 관할,35.7993587,128.4908071
105,105,전라남도 목포시,목포시유기동물보호소,***********,전라남도 무안군 삼향읍 석매길 21-5 (삼향읍),35.2224503,126.8816669
106,106,전라남도 무안군,무안군유기동물보호소,061-450-4059,전라남도 무안군 무안읍 백로로 164-123,35.2224503,126.8816669
107,107,경기도 파주시,문산동물병원,031-953-7570,경기도 파주시 문산읍 문향로 35 문산동물병원,37.854996,126.7857024
108,108,울산광역시 남구,미래펫동물병원,052-273-5911,울산광역시 남구 중앙로 218-1 (신정동),35.2359105,128.6709633
109,109,경기도 파주시,미엘동물병원,031-935-5009,경기도 파주시 청석로 264 (동패동) 2층 201호 거북목프라자,37.7255402,126.7182723
110,110,서울특별시 용산구,민트동물병원,02-707-2235,"서울특별시 용산구 원효로 51 (산천동, 삼성테마트) 119호",37.5337926,126.9500754
111,111,경상남도 밀양시,밀양시동물보호센터,***********,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),35.4910252,128.7292071
112,112,전라북도 임실군,박영재동물병원,063-284-7774,전라북도 전주시 완산구 전주천서로 111 (서서학동) 박영재 동물병원,35.8102203,127.1491608
113,113,서울특별시 마포구,박창석동물병원,02-6405-7582,서울특별시 마포구 도화길 42 (도화동),37.5414708,126.9503309
114,114,충청북도 청주시,반려동물보호센터,043-201-2298,충청북도 청주시 흥덕구 강내면 서부로 411-55 (강내면),36.5903637,127.3657007
115,115,경기도 파주시,버디종합동물병원,031-953-1183,경기도 파주시 문산읍 문산역로 77 버디종합동물병원,40.8495488,-73.969281
116,116,울산광역시 울주군,범서조은동물병원,052-248-7582,울산광역시 울주군 범서읍 천상중앙길 49 (범서읍),35.5635625,129.2310625
117,117,인천광역시 강화군,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",36.085526,-95.86803929999999
118,118,전라북도 완주군,별빛유기동물지킴이,***********,전라북도 완주군 용진읍 순지2길 187-6,37.3667927,127.1273107
119,119,충청남도 보령시,보령시임시동물보호소,***********,충청남도 보령시 녹문3길 7 (내항동),36.332437,126.5878328
120,120,전라남도 보성군,보성유기동물보호센터,061-850-5403,전라남도 보성군 노동면 노동천동길 209 (노동면) 신천리 71,35.2224503,126.8816669
121,121,경상북도 봉화군,봉화군유기동물보호소,054-679-6865,경상북도 봉화군 봉성면 농업인길 24 (봉성면) 봉화군농업기술센터,37.1724944,129.041338
122,122,부산광역시 중구,부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),35.1345653,128.9282488
123,123,부산광역시 서구,부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),35.1345653,128.9282488
124,124,부산광역시 북구,부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),35.1345653,128.9282488
125,125,부산광역시 강서구,부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),35.1345653,128.9282488
126,126,경기도 부천시,부천시수의사회,032-323-4999,경기도 부천시 길주로 660 (춘의동),37.500431,126.794264
127,127,전라남도 영광군,불갑동물임시보호소,***********,전라남도 영광군 불갑면 함영로 2758,35.2089568,126.5076215
128,128,부산광역시 동구,사단법인 하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동),35.1774925,128.9170235
129,129,부산광역시 기장군,사단법인 하얀비둘기,051-293-9779,부산광역시 강서구 제도로 726 (강동동),35.1774925,128.9170235
130,130,울산광역시 남구,사랑동물병원,052-273-0075,울산광역시 남구 중앙로 165-1 (신정동),35.53587479999999,129.3135744
131,131,경상남도 사천시,사천시 동물보호센터,055-831-3784,경상남도 사천시 용현면 진삼로 902,35.0657972,128.0750009
132,132,경상남도 산청군,산청동물보호센터,***********,경상남도 산청군 산청읍 친환경로 2783-25 (산청읍),35.4127737,127.8725262
133,133,인천광역시 부평구,삼산종합동물병원,032-330-0075,"인천광역시 부평구 체육관로 40 (삼산동, 신영프라자)",37.5081978,126.7361191
134,134,강원도 삼척시,삼척시유기동물보호소,***********,"강원도 삼척시 근덕면 교곡길 127-281 (근덕면, 쓰레기소각시설) 유기동물보호소",37.4850118,129.1190429
135,135,경상북도 상주시,상주유기동물보호센터,***********,경상북도 상주시 청리면 남상주로 1205-59,37.0089381,127.8496841
136,136,충청남도 서산시,서산동물병원,041-667-5525,충청남도 서산시 안견로 235 (동문동),36.7844993,126.4503169
137,137,충청남도 서산시,서산시 동물보호센터,041-660-2040,충청남도 서산시 인지면 무학재1길 99,36.7774645,126.4489852
138,138,서울특별시 용산구,서울동물복지지원센터,02-2124-2832,서울특별시 마포구 매봉산로 31 (상암동) 지하1층,37.4985933,126.8713366
139,139,서울특별시 마포구,서울동물복지지원센터,02-2124-2832,서울특별시 마포구 매봉산로 31 (상암동) 에스플렉스센터 지하1층,37.4985933,126.8713366
140,140,서울특별시 관악구,서울동물복지지원센터,02-2124-2832,서울특별시 마포구 매봉산로 31 (상암동) 지하1층,37.4985933,126.8713366
141,141,충청남도 서천군,서천군유기동물보호소,041-950-4390,충청남도 서천군 마산면 한마로 1189-19,35.9605092,126.8157793
142,142,서울특별시 서초구,서초동물사랑센터,02-6956-7980,"서울특별시 서초구 양재천로19길 22 (양재동, 숨빌딩) 서초동물사랑센터",37.4763321,127.0381241
143,143,경상북도 성주군,성주유기동물보호센터,***********,경상북도 성주군 선남면 선노로 522 (선남면),35.9605092,126.8157793
144,144,인천광역시 부평구,세림동물병원,032-503-0075,"인천광역시 부평구 원적로 392 (산곡동, 백마타운)",37.5038014,126.7099255
145,145,세종특별자치시,세종유기동물보호센터,***********,세종특별자치시 전동면 미륵당1길 188 (전동면),35.1345653,128.9282488
146,146,세종특별자치시,세종종합동물병원,044-868-8275,세종특별자치시 조치원읍 새내로 81-2 (조치원읍) 세종종합동물병원,36.6027273,127.3042316
147,147,강원도 속초시,속초시유기동물보호소,033-633-2519,강원도 속초시 하도문길 103 (대포동),38.2061255,128.585016
148,148,경기도 수원시,수원시 동물보호센터,031-228-3557,"경기도 수원시 영통구 광교호수로 234 (하동, 수원시 동물보호센터) 하동 40-10",37.2852921,127.0784732
149,149,전라남도 순천시,순천시유기동물보호소,061-749-8793,"전라남도 순천시 승주읍 승주로 628 (승주읍, 농업기술센터) 순천시유기동물보호소",34.9471116,127.487679
150,150,울산광역시 남구,스마일동물병원,052-277-0075,울산광역시 남구 대학로 112 (무거동),35.8649485,127.12823
151,151,경기도 안산시,스타캣츠,031-410-3777,경기도 안산시 단원구 한양대학로 208 (고잔동) 2층 스타캣츠,37.47542200000001,127.0457819
152,152,경기도 시흥시,시흥시농업기술센터,031-310-2247,"경기도 시흥시 관곡지로 139 (하중동, 생명농업기술센터)",37.40077429999999,126.8084074
153,153,인천광역시 중구,신공항동물병원,032-751-4598,인천광역시 중구 운중로 33 (운남동),37.4912946,126.5352837
154,154,대구광역시 수성구,신세계동물병원,053-751-6693,대구광역시 수성구 수성동1가 명덕로 393 (수성동1가),37.5064627,126.9992311
155,155,전라남도 신안군,신안유기동물보호센터,***********,전라남도 무안군 삼향읍 석매길 21-5 (삼향읍),35.2224503,126.8816669
156,156,충청남도 아산시,아산시동물보호센터,041-533-3563,충청남도 아산시 염치읍 충무로 295-9,36.8068504,127.0047685
157,157,경기도 파주시,야당동물병원,031-948-7579,경기도 파주시 경의로 1100 (야당동) 201호,37.715662,126.7600361
158,158,강원도 양구군,양구,033-480-7785,강원도 양구군 남면 양남로 319-31 (남면) 양구군농업기술센터,38.1100701,127.9898825
159,159,경상남도 양산시,양산시 동물보호센터,055-392-5337,경상남도 양산시 동면 석산리 392 양산시농업기술센터,35.3353237,129.0257872
160,160,경기도 양평군,양평군유기동물보호소,031-770-2337,경기도 양평군 양평읍 농업기술센터길 59 (양평읍),37.4424585,127.6316831
161,161,전라북도 부안군,연합동물병원,063-580-4499,"전라북도 부안군 부안읍 번영로 185 (부안읍, 르노삼성자동차) 연합동물병원",35.34599499999999,129.0368529
162,162,서울특별시 용산구,열린동물병원,02-3273-0075,서울특별시 용산구 원효로2가 84-10,37.3374225,127.9287084
163,163,경상북도 영덕군,영덕유기동물보호센터,054-730-6286,경상북도 영덕군 영덕읍 구미2길 14-1 (영덕읍) 영덕군유기동물보호센터,36.14575019999999,129.3327567
164,164,경상북도 영양군,영양군유기동물보호소,***********,경상북도 영양군 입암면 마령산해로 1202 (입암면) .,36.14575019999999,129.3327567
165,165,강원도 영월군,영월군위탁동물보호소,033-370-2392,강원도 영월군 영월읍 덕포우회길 329,37.0089381,127.8496841
166,166,경상북도 포항시,영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍),36.106395,129.3465209
167,167,경상북도 영주시,영주시 동물보호센터,***********,경상북도 영주시 문수면 반구로324번길 135 (문수면) 장수면 반구리 407-8,36.8264708,128.621818
168,168,경상북도 영천시,영천유기동물보호센터,054-339-7175,"경상북도 영천시 천문로 622-13 (오미동, 영천시농업기술센터)",35.9912207,128.9246649
169,169,충청남도 예산군,예산동물보호센터,041-339-7832,충청남도 예산군 예산읍 아리랑로 236 지하1층,36.6826123,126.8483951
170,170,대구광역시 수성구,예스동물병원,053-768-7543,대구광역시 수성구 동대구로 207 (황금동),29.6984905,-95.58751629999999
171,171,경상북도 예천군,예천군유기동물보호소,054-650-8167,"경상북도 예천군 예천읍 충효로 632-84 (예천읍, 유기동물보호소)",37.0089381,127.8496841
172,172,경기도 오산시,오산시수의사회,031-372-9325,경기도 오산시 성호대로 36 (오산동),37.2963571,127.0077353
173,173,충청북도 옥천군,옥천동물병원,***********,"충청북도 옥천군 옥천읍 삼금로 53 (옥천읍, 동물병원) 옥천동물병원",36.303032,127.5687809
174,174,울산광역시 울주군,와우동물병원,052-225-0075,울산광역시 울주군 언양읍 읍성로 135 (언양읍),37.4760427,126.9158344
175,175,서울특별시 마포구,용강동물병원,02-707-2340,서울특별시 마포구 대흥로 48 (대흥동),37.5447749,126.9393825
176,176,경기도 용인시,용인시 동물보호센터,031-324-3463,"경기도 용인시 처인구 중부대로 1074-1 (삼가동, 용인시 동물보호센터)",37.2433246,127.1591659
177,177,인천광역시 서구,우리동물병원,032-566-0075,인천광역시 서구 서곶로 349 (연희동) 우리동물병원,36.7780946,126.4579741
178,178,경상북도 군위군,우성동물병원,054-382-1357,경상북도 군위군 군위읍 중앙1길 17 (군위읍),37.3776995,127.1328487
179,179,경상북도 울릉군,울릉군농업기술센터,054-790-6282,"경상북도 울릉군 울릉읍 신리길 68 (울릉읍, 울릉도축장)",37.4610679,130.8743201
180,180,울산광역시 중구,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),35.5344908,129.3179394
181,181,울산광역시 남구,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 화산발리로 543 (온양읍),35.5344908,129.3179394
182,182,울산광역시 북구,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,35.5344908,129.3179394
183,183,울산광역시 울주군,울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,35.5344908,129.3179394
184,184,경상북도 울진군,울진군동물보호센터,054-789-6795,경상북도 울진군 울진읍 대흥신림로 916-37,36.9935218,129.4037226
185,185,강원도 원주시,원주유기동물보호센터,033-731-1119,강원도 원주시 호저면 칠봉로 110-6,37.489854,127.9885661
186,186,서울특별시 용산구,원효동물병원,02-719-7070,서울특별시 용산구 원효로2가 30-4,37.5364057,126.9631403
187,187,충청남도 금산군,월드동물병원,041-750-2584,충청남도 금산군 금산읍 오리정로 68 월드동물병원,35.1738391,-80.8030045
188,188,경기도 파주시,웰니스클리닉,031-942-7524,"경기도 파주시 한울로 123 (동패동, 이마트운정점) 2층, 웰니스클리닉",40.7594285,-73.7737306
189,189,서울특별시 마포구,웰케어 동물병원,02-337-7575,"서울특별시 마포구 월드컵북로 27 (서교동, 이화빌딩) 서교동447-2",37.5568369,126.9190588
190,190,경기도 이천시,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),37.1750998,127.0498535
191,191,경기도 여주시,위더스 동물보호센터,031-882-4381,경기도 여주시 능서면 능서공원길 34 (능서면),37.1750998,127.0498535
192,192,강원도 고성군,유기견임시보호소,033-680-3724,강원도 고성군 간성읍 꽃내마루길 53-49,37.618942,127.1036349
193,193,부산광역시 사상구,유기동물및동물보호협,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동),35.1788983,128.8997675
194,194,경상북도 안동시,유기동물보호센터,***********,경상북도 안동시 서후면 풍산태사로 3252-29 (서후면),35.1345653,128.9282488
195,195,전라남도 여수시,유기동물보호소,061-659-4429,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",35.1345653,128.9282488
196,196,전라남도 완도군,유기동물임시보호센터,***********,전라남도 완도군 신지면 신지로6번길 23-89 (신지면),35.1345653,128.9282488
197,197,충청남도 천안시,유실유기동물보호소,***********,충청남도 천안시 동남구 충절로 437 (삼룡동),37.1307964,127.0555295
