,Unnamed: 0,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,위도,경도
125,125,3020000.0,3.02e+17,20021223.0,,1.0,영업/정상,0.0,정상,,,,,778-7582,51.4,,서울특별시 용산구 후암동 63-1번지 지상1층 ,서울특별시 용산구 후암로 51 지상1층 (후암동),4325.0,남산동물병원,37.5535934,127.0791827
126,126,3020000.0,3.02e+17,20051104.0,,1.0,영업/정상,0.0,정상,,,,,795-2184,36.19,,서울특별시 용산구 한남동 653-26번지 ,서울특별시 용산구 대사관로 32 (한남동),4403.0,펫토이동물병원,37.5504897,127.071146
127,127,3020000.0,3.02e+17,20110126.0,,1.0,영업/정상,0.0,정상,,,,,713-0053,32.4,,서울특별시 용산구 원효로1가 133-3번지 리첸시아 용산 A동 106호,서울특별시 용산구 백범로 341 A동 지상1층 106호 (원효로1가 리첸시아 용산),4315.0,엉클장동물병원,37.5626197,127.0853672
128,128,3110000.0,3.11e+17,20210908.0,,1.0,영업/정상,0.0,정상,,,,,,217.0,,서울특별시 은평구 진관동 63 롯데몰 은평점,서울특별시 은평구 통일로 1050 롯데몰 은평점 2층 (진관동),3306.0,아이러브펫동물병원 은평점,37.5627064,127.0815561
129,129,3020000.0,3.02e+17,20090501.0,,1.0,영업/정상,0.0,정상,,,,,792-7585,0.0,,서울특별시 용산구 이태원동 225-93번지 ,서울특별시 용산구 회나무로13길 6 (이태원동),4344.0,라온동물병원,37.5595296,127.0878678
130,130,3210000.0,3.21e+17,20031201.0,,1.0,영업/정상,0.0,정상,,,,,02-586-7501,92.8,,서울특별시 서초구 서초동 1343-1,서울특별시 서초구 효령로 384 (서초동),,메디펫 동물병원,37.5419717,127.0767285
131,131,3020000.0,3.02e+17,20170308.0,,1.0,영업/정상,0.0,정상,,,,,02-749-7588,40.51,,서울특별시 용산구 이촌동 300-23번지 한강맨션 11동 102호,서울특별시 용산구 이촌로 248 11동 102호 (이촌동 한강맨션),4426.0,베이동물병원,37.5361052,127.0840481
132,132,3030000.0,3.03e+17,20140901.0,,1.0,영업/정상,0.0,정상,,,,,02-3394-7530,111.1,,서울특별시 성동구 용답동 74-2번지 ,서울특별시 성동구 천호대로 288 (용답동),4804.0,24시LC동물의료센터,37.5478086,127.1052825
133,133,3030000.0,3.03e+17,20161219.0,,1.0,영업/정상,0.0,정상,,,,,02-2282-7501,43.8,,서울특별시 성동구 옥수동 528번지 이편한세상옥수파크힐스 ,서울특별시 성동구 매봉길 50 (옥수동 이편한세상옥수파크힐스),4731.0,스테이동물병원,37.5466951,127.0914159
134,134,3020000.0,3.02e+17,20050624.0,,1.0,영업/정상,0.0,정상,,,,,792-7602,107.5,,서울특별시 용산구 이태원동 21-1 태광빌딩 1층,서울특별시 용산구 보광로 90 태광빌딩 1층 (이태원동),4406.0,청화종합동물병원,37.560789,127.0812197
135,135,3020000.0,3.02e+17,20180514.0,,1.0,영업/정상,0.0,정상,,,,,02-797-1275,73.0,,서울특별시 용산구 한강로3가 63-389 용산시티파크1단지 101동 101호,서울특별시 용산구 서빙고로 35 101동 101호 (한강로3가 용산시티파크1단지),4385.0,워너비동물병원 용산점,37.53581800000001,127.0683505
136,136,3030000.0,3.03e+17,20161122.0,,1.0,영업/정상,0.0,정상,,,,,02-468-7975,17.5,,서울특별시 성동구 성수동1가 22-28번지 1층 ,서울특별시 성동구 성수일로 33 1층 (성수동1가 정인숙보습학원),4779.0,포레동물병원,37.5519052,127.0753928
137,137,3000000.0,3e+17,20171116.0,,1.0,영업/정상,0.0,정상,,,,,,0.0,,서울특별시 종로구 홍파동 42-13 경희궁자이 2단지 상가동 2229호,서울특별시 종로구 송월길 99 상가동 2층 2229호 (홍파동 경희궁자이 2단지),3165.0,경희궁 바른 동물병원,37.5368792,127.0617852
138,138,3030000.0,3.03e+17,20180706.0,,1.0,영업/정상,0.0,정상,,,,,02-466-8215,51.0,,서울특별시 성동구 성수동1가 718번지 트리마제 ,서울특별시 성동구 왕십리로 16 (성수동1가 트리마제),4773.0,달링동물병원,37.5624816,127.0879031
139,139,3030000.0,3.03e+17,20180330.0,,1.0,영업/정상,0.0,정상,,,,,02-2039-7572,50.0,,서울특별시 성동구 하왕십리동 1070번지 센트라스 ,서울특별시 성동구 왕십리로 410 (하왕십리동 센트라스),4701.0,다온동물병원,37.5750329,127.0496055
140,140,3030000.0,3.03e+17,20170119.0,,1.0,영업/정상,0.0,정상,,,,,02-2297-9300,35.0,,,서울특별시 성동구 왕십리로 410 127동 지하층 030호 (하왕십리동 센트라스),4701.0,바라봄동물병원,37.5143172,127.0433865
141,141,3030000.0,3.03e+17,20190513.0,,1.0,영업/정상,0.0,정상,,,,,234094640,30.68,,서울특별시 성동구 송정동 79-2번지 ,서울특별시 성동구 광나루로 337 (송정동),4801.0,수동물병원,37.5771457,127.0358247
142,142,3030000.0,3.03e+17,20190725.0,,1.0,영업/정상,0.0,정상,,,,,264546182,42.24,,서울특별시 성동구 행당동 155-1번지 파크에비뉴 엔터식스 ,서울특별시 성동구 왕십리로 241 4층 (행당동 서울숲 더샵),4765.0,바우라움동물병원,37.5719794,127.0238816
143,143,3030000.0,3.03e+17,20190919.0,,1.0,영업/정상,0.0,정상,,,,,02-2295-9888,0.0,,서울특별시 성동구 하왕십리동 1070번지 센트라스상가 D동 106호,서울특별시 성동구 왕십리로 410 D동 106호 (하왕십리동 센트라스),4701.0,베이지동물병원,37.5650413,127.0673476
169,169,3030000.0,3.03e+17,20200417.0,,1.0,영업/정상,0.0,정상,,,,,24697975,83.1,,서울특별시 성동구 성수동1가 656-968번지 영화빌딩 2층 ,서울특별시 성동구 왕십리로 104 영화빌딩 2층 (성수동1가),4778.0,오늘동물병원,37.5887575,127.0883288
170,170,3030000.0,3.03e+17,20121031.0,,1.0,영업/정상,0.0,정상,,,,,02-2291-7582,57.3,,서울특별시 성동구 옥수동 560번지 어울림상가 213호,서울특별시 성동구 독서당로40길 39 213호 (옥수동 어울림상가),4739.0,옥수수 동물병원,37.5769195,127.0857526
171,171,3030000.0,3.03e+17,20120206.0,,1.0,영업/정상,0.0,정상,,,,,02-466-2475,73.6,,서울특별시 성동구 성수동2가 333-3번지 1층 ,서울특별시 성동구 뚝섬로 386 (성수동2가),4775.0,서울숲동물병원,37.5822302,127.0881876
172,172,3030000.0,3.03e+17,20151001.0,,1.0,영업/정상,0.0,정상,,,,,2282-3653,128.09,,서울특별시 성동구 금호동4가 1338번지 10통4반 현대ESA아파트 910호,서울특별시 성동구 독서당로 328 (금호동4가),4737.0,펫365동물병원,37.6125542,127.0775737
173,173,3030000.0,3.03e+17,20141127.0,,1.0,영업/정상,0.0,정상,,,,,02-2295-0975,34.6,,서울특별시 성동구 상왕십리동 811번지 텐즈힐몰 221동 134호,서울특별시 성동구 마장로 137 221동 134호 (상왕십리동 텐즈힐몰),4700.0,텐즈힐링동물병원,37.5924044,127.072651
174,174,3030000.0,3.03e+17,20160225.0,,1.0,영업/정상,0.0,정상,,,,,02-6402-0301,28.78,,서울특별시 성동구 옥수동 561번지 래미안옥수리버젠 상가동 420호,서울특별시 성동구 매봉길 13 1층 420호 (옥수동 래미안옥수리버젠상가),4733.0,오석헌동물병원,37.5950054,127.0794311
175,175,3030000.0,3.03e+17,20061023.0,,1.0,영업/정상,0.0,정상,,,,,02-6085-7750,23.95,,서울특별시 성동구 금호동4가 1108번지 지상1층 ,서울특별시 성동구 독서당로 289 (금호동4가지상1층),,아지동물병원,37.6000608,127.1091502
176,176,3160000.0,3.16e+17,20140811.0,,1.0,영업/정상,0.0,정상,,,,,2619-5102,0.0,,서울특별시 구로구 개봉동 492 개봉푸르지오,서울특별시 구로구 남부순환로 775 (개봉동 개봉푸르지오),8236.0,24시 명동물메디컬센터,37.6077895,127.0983261
177,177,3030000.0,3.03e+17,20160324.0,,1.0,영업/정상,0.0,정상,,,,,02-468-7582,51.6,,서울특별시 성동구 성수동2가 339-23번지 ,서울특별시 성동구 뚝섬로 395 (성수동2가),4781.0,제인동물병원,37.6157809,127.0937068
178,178,3030000.0,3.03e+17,20030124.0,,1.0,영업/정상,0.0,정상,,,,,02-2297-7582,117.54,,서울특별시 성동구 행당동 322-100번지 ,서울특별시 성동구 행당로8길 41-2 (행당동),,오렌지동물병원,37.6268335,127.0269077
179,179,3030000.0,3.03e+17,20030124.0,,1.0,영업/정상,0.0,정상,,,,,02-3395-0075,26.32,,서울특별시 성동구 행당동 346번지 한진노변상가 110호,서울특별시 성동구 행당로 76 110호 (행당동 한진노변상가),4717.0,평화와생명동물병원,37.5915544,127.0869415
180,180,3030000.0,3.03e+17,20130326.0,,1.0,영업/정상,0.0,정상,,,,,02-2281-8122,148.55,,서울특별시 성동구 홍익동 398-2번지 ,서울특별시 성동구 무학로 16 (홍익동),4707.0,라임동물병원,37.5798727,127.0877952
181,181,3040000.0,3.04e+17,20170328.0,,1.0,영업/정상,0.0,정상,,,,,02-2024-1253,0.0,,,서울특별시 광진구 아차산로 272 (자양동 이마트 자양점),5065.0,쿨펫동물병원,37.5730388,127.0814632
182,182,3030000.0,3.03e+17,20121218.0,,1.0,영업/정상,0.0,정상,,,,,,16.5,,서울특별시 성동구 행당동 344번지 111호,서울특별시 성동구 독서당로59길 84 신동아아파트상가동 1층 111호 (행당동),4716.0,도담동물병원(출장진료전문 동물병원),37.6050099,127.095637
183,183,3030000.0,3.03e+17,20030123.0,,1.0,영업/정상,0.0,정상,,,,,02-2299-3283,26.0,,서울특별시 성동구 옥수동 263-1번지 ,서울특별시 성동구 독서당로 200 (옥수동),,함께하는동물병원,37.58822139999999,127.0040298
184,184,3030000.0,3.03e+17,20131230.0,,1.0,영업/정상,0.0,정상,,,,,02-2291-8275,48.2,,서울특별시 성동구 마장동 791-9번지 ,서울특별시 성동구 마장로 296 (마장동),4758.0,기린동물병원,37.616864,127.0915681
185,185,3030000.0,3.03e+17,20131219.0,,1.0,영업/정상,0.0,정상,,,,,02-2297-7570,62.12,,서울특별시 성동구 금호동4가 800번지 금호동대우아파트 상가동 206호,서울특별시 성동구 독서당로 270 상가동 2층 206호 (금호동4가 금호동 대우아파트),4738.0,바른동물병원,37.58115770000001,127.0848958
186,186,3030000.0,3.03e+17,20161021.0,,1.0,영업/정상,0.0,정상,,,,,222810049,62.5,,서울특별시 성동구 금호동2가 1217번지 래미안하이리버 상가동 비201호,서울특별시 성동구 금호로 105 비201호 (금호동2가 래미안하이리버 상가동),4728.0,금호동물병원,37.6122908,126.9317226
187,187,3030000.0,3.03e+17,20100401.0,,1.0,영업/정상,0.0,정상,,,,,02-2281-5200,101.0,,서울특별시 성동구 행당동 226-3번지 ,서울특별시 성동구 왕십리로 282 (행당동),4751.0,한양동물메디컬센터,37.5986441,127.0962349
188,188,3030000.0,3.03e+17,20080908.0,,1.0,영업/정상,0.0,정상,,,,,02-2282-7503,63.0,,서울특별시 성동구 행당동 346번지 한진노변상가 109호,서울특별시 성동구 행당로 76 한진노변상가 12층 108호109호203호 (행당동),4717.0,이윤세동물병원,37.6046561,127.0959119
189,189,3030000.0,3.03e+17,20140227.0,,1.0,영업/정상,0.0,정상,,,,,02-2297-0075,55.39,,서울특별시 성동구 하왕십리동 892-4번지 ,서울특별시 성동구 왕십리로 381 (하왕십리동),4710.0,왕십리조은동물병원,37.4561302,126.8995358
190,190,3040000.0,3.04e+17,20130627.0,,1.0,영업/정상,0.0,정상,,,,,456-0975,56.3,,서울특별시 광진구 자양동 606-27번지 ,서울특별시 광진구 뚝섬로52길 4 (자양동),5099.0,자양동물병원,37.6096969,127.0188531
