"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총인원"
"3040000","304000001320210003","20210906","","01","영업/정상","0000","정상","","","","","02-469-7300","","","서울특별시 광진구 화양동 **-* 동신빌딩","서울특별시 광진구 아차산로 *** 동신빌딩 지하 *층 (화양동)","05020","태산약품","20210906095742","I","2020-12-09 00:08:00.0","","205687.675941036","448867.440516076","","","","",""
"3210000","321000001320160001","20160531","","01","영업/정상","0000","정상","","","","","02-573-9669","","","서울특별시 서초구 양재동 358-6번지 광산빌딩 ","서울특별시 서초구 강남대로6길 66-18 (양재동 광산빌딩)","06789","베트컴코리아(주)","20160531143021","I","2018-08-31 23:59:59.0","","203899.648568982    ","440629.337291334    ","동물용의료용구판매업","","","L00",""
"3210000","321000001320160002","20160531","","01","영업/정상","0000","정상","","","","","02-573-9669","","","서울특별시 서초구 양재동 358-6번지 광산빌딩 ","서울특별시 서초구 강남대로6길 66-18 (양재동 광산빌딩)","06789","베트컴코리아(주)","20160531152442","I","2018-08-31 23:59:59.0","","203899.648568982    ","440629.337291334    ","동물용의료용구판매업","","","L00",""
"3210000","321000001320200002","20200511","","01","영업/정상","0000","정상","","","","","02-6949-3038","","","서울특별시 서초구 반포동 739-32번지 제이디 빌딩 ","서울특별시 서초구 강남대로79길 32 제이디 빌딩 1층 (반포동)","06542","브이케어동물병원","20200511165516","I","2020-05-13 00:23:20.0","","201907.192235434    ","444731.440860365    ","동물용의료용구판매업","","","000",""
"3210000","321000001320190002","20190225","","03","폐업","0002","폐업","20190513","","","","02-583-7041","7.5","","서울특별시 서초구 서초동 1329-8번지 삼원빌딩 848호","서울특별시 서초구 강남대로 341 삼원빌딩 8층 848호 (서초동)","06626","ST Care","20190513154926","U","2019-05-15 02:40:00.0","","202524.096001449    ","443449.99298641     ","동물용의료용구판매업","","","000",""
"3210000","321000001320160003","20160531","","03","폐업","0002","폐업","20170829","","","","02-573-9669","","","서울특별시 서초구 양재동 358-6번지 광산빌딩 ","서울특별시 서초구 강남대로6길 66-18 (양재동 광산빌딩)","06789","베트컴코리아(주)","20170829162449","I","2018-08-31 23:59:59.0","","203899.648568982    ","440629.337291334    ","동물용의료용구판매업","","","L00",""
"3210000","321000001320130002","20130425","","03","폐업","0002","폐업","20161114","","","","581-3861","","","서울특별시 서초구 서초동 1640-27번지 ","서울특별시 서초구 서초대로62길 30 (서초동)","06632","오창무역(주)","20161114143630","I","2018-08-31 23:59:59.0","","201675.434776667    ","443522.877533753    ","동물용의료용구판매업","","","L00",""
"3210000","321000001320130003","20111025","","03","폐업","0002","폐업","20140508","","","","2006-0600","0","","서울특별시 서초구 양재동 275번지 ","서울특별시 서초구 마방로 68 3층 (양재동)","06775","쥴릭파마코리아(주)","20140508172020","I","2018-08-31 23:59:59.0","","203825.862435034    ","441733.620009246    ","동물용의료용구판매업","","","L00",""
"3210000","321000001319950001","19951027","","01","영업/정상","0000","정상","","","","","587-1388","0","","서울특별시 서초구 원지동 312-3 솔향빌딩 2층 1호","","","(주)중앙진테크","20210623130402","U","2020-12-05 22:05:00.0","","","","","","","",""
"3210000","321000001320140003","20141224","","03","폐업","0002","폐업","20210705","","","","595-1085","","","서울특별시 서초구 양재동 *-**","서울특별시 서초구 논현로**길 ** (양재동)","06741","(주)타이렉스","20210705164945","U","2020-12-07 00:07:00.0","","203712.83777600000","442506.99569000000","","","","",""
"3160000","316000001320210003","20210120","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 구로구 구로동 222-7 코오롱디지털타워빌란트 607호","서울특별시 구로구 디지털로32길 30 코오롱디지털타워빌란트 607호 (구로동)","08390","더가가","20210120165240","I","2020-11-30 22:02:00.0","","190776.468544178","442370.143700207","","","","",""
"3230000","323000001320210005","20210120","","01","영업/정상","0000","정상","","","","","","","","서울특별시 송파구 문정동 642 송파 테라타워2","서울특별시 송파구 송파대로 201 송파 테라타워2 B동 1515-2호 (문정동)","05854","굿파인더","20210120141602","I","2020-11-30 22:02:00.0","","210627","442875","","","","",""
"3210000","321000001320050001","20050726","","03","폐업","0002","폐업","20150120","","","","577-3443","200","","서울특별시 서초구 양재동 20-6번지 태홍빌딩 지상2층 ","서울특별시 서초구 바우뫼로37길 23-6 (양재동태홍빌딩 지상2층)","","(주)세명엠디","20160113170507","I","2018-08-31 23:59:59.0","","203380.737061992    ","441964.67190413     ","동물용의료용구판매업","","","L00",""
"3210000","321000001320140001","20140707","","03","폐업","0002","폐업","20180920","","","","02-3463-9588","","","서울특별시 서초구 양재동 245-5번지 ","서울특별시 서초구 언남1길 4 201호 (양재동)","06778","(주)메사메디칼","20180920151226","U","2018-09-20 23:59:59.0","","203552.756357835    ","441127.316677359    ","동물용의료용구판매업","","","000",""
"3210000","321000001320010001","20010820","","03","폐업","0002","폐업","20071119","","","","2055-0321","0","","서울특별시 서초구 서초동 1595-3번지 유승빌딩 2층 ","서울특별시 서초구 반포대로18길 60 (서초동유승빌딩 2층)","","(주)한국톱콘","20071119140354","I","2018-08-31 23:59:59.0","","201130.220164867    ","442782.729488843    ","동물용의료용구판매업","","","L00",""
"3210000","321000001320020001","20020912","","03","폐업","0002","폐업","20050408","","","","532-5526","0","","서울특별시 서초구 방배동 751-1번지 ","서울특별시 서초구 방배중앙로 214 (방배동)","","히포사이언스","20050408170010","I","2018-08-31 23:59:59.0","","198628.119010586    ","443997.895759362    ","동물용의료용구판매업","","","000",""
"3210000","321000001320030001","20030425","","03","폐업","0002","폐업","20141120","","","","02-3462-5501","147.96","","서울특별시 서초구 양재동 281-10번지 ","서울특별시 서초구 언남18길 5 (양재동)","","영천환경화학(주)","20141120153436","I","2018-08-31 23:59:59.0","","204005.084711271    ","441448.626671598    ","동물용의료용구판매업","","","000",""
"3210000","321000001320120001","20120419","","03","폐업","0002","폐업","20140404","","","","3471-8492","","","서울특별시 서초구 서초동 1357-33번지 남성빌딩 307-2호 ","서울특별시 서초구 강남대로 283 307-2호 (서초동 남성빌딩)","06729","유진엠코","20140404143909","I","2018-08-31 23:59:59.0","","202732.181651444    ","442917.873697268    ","동물용의료용구판매업","","","000",""
"3210000","321000001320120002","20120423","","03","폐업","0002","폐업","20160216","","","","","","","서울특별시 서초구 잠원동 39-15번지 307호","서울특별시 서초구 신반포로45길 22 307호 (잠원동)","06531","(주)퀵 보일러","20160217135646","I","2018-08-31 23:59:59.0","","201598.475170439    ","445478.801976088    ","동물용의료용구판매업","","","000",""
"3210000","321000001320120003","20120423","","03","폐업","0002","폐업","20190530","","","","0222977950","","","서울특별시 서초구 서초동 1357-33번지 남성빌딩 307호","서울특별시 서초구 강남대로 283 307호 (서초동 남성빌딩)","06729","장광메딕스","20190530173542","U","2019-06-01 02:40:00.0","","202732.181651444    ","442917.873697268    ","동물용의료용구판매업","","","000",""
"3210000","321000001319990001","19990716","","03","폐업","0002","폐업","20040715","","","","597-0507","0","","서울특별시 서초구 서초동 1659-12  번지 이차B 3층 ","","","(주)중앙화성","20040715164109","I","2018-08-31 23:59:59.0","","","","동물용의료용구판매업","","","L00",""
"3210000","321000001319990002","19991101","","03","폐업","0002","폐업","20190709","","","","3473-2332","0","","서울특별시 서초구 서초동 1503-15번지 양우빌딩 ","서울특별시 서초구 반포대로23길 30 (서초동양우빌딩)","","(주)이우과학교역","20190710075855","U","2019-07-12 02:40:00.0","","200570.869384706    ","442974.636923035    ","동물용의료용구판매업","","","L00",""
"3210000","321000001319990003","19991025","","03","폐업","0002","폐업","20030529","","","","573-3743","0","","서울특별시 서초구 양재동 153번지 우성성보프라자 203호 ","서울특별시 서초구 바우뫼로 91 (양재동우성성보프라자 203호)","","우리무역(주)","20030529164930","I","2018-08-31 23:59:59.0","","202570.833134395    ","441646.594354282    ","동물용의료용구판매업","","","L00",""
"3210000","321000001320000002","20001023","","03","폐업","0002","폐업","20091127","","","","522-8911","0","","서울특별시 서초구 방배동 455-15  번지 지층 ","","","참존약품","20091127153546","I","2018-08-31 23:59:59.0","","","","동물용의료용구판매업","","","000",""
"3220000","322000001320190008","20191128","","01","영업/정상","0000","정상","","","","","02-3484-9723","","","서울특별시 강남구 삼성동 159번지 코엑스인터콘티넨탈서울 ","서울특별시 강남구 봉은사로 524 코엑스인터콘티넨탈서울 지하2층 (삼성동)","06164","(주)호텔롯데 롯데면세점 코엑스점","20191128100253","I","2019-11-30 00:23:27.0","","205130.591678902    ","445590.096837802    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320200001","20200107","","01","영업/정상","0000","정상","","","","","070-4239-3077","","","서울특별시 강남구 도곡동 909-3번지 한독빌딩 4001호","서울특별시 강남구 남부순환로 2645 한독빌딩 4층 4001호 (도곡동)","06271","비욘드월드 주식회사","20200107131938","I","2020-01-09 00:23:25.0","","203390.902472016    ","442601.789760193    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320190009","20191216","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강남구 역삼동 809번지 비제바노 ","서울특별시 강남구 강남대로 464 비제바노 525호 (역삼동)","06123","HnCmedical","20191216154546","I","2019-12-18 00:23:26.0","","202161.020617773    ","444633.499865115    ","동물용의료용구판매업","","","000",""
"3220000","322000001320190007","20190723","","01","영업/정상","0000","정상","","","","","02-557-2535","","","서울특별시 강남구 삼성동 143-28번지 동원빌딩 ","서울특별시 강남구 테헤란로77길 7 동원빌딩 1층 (삼성동)","06159","GS25 강남동원점","20190723094345","I","2019-07-25 02:21:44.0","","204746.52560931     ","444968.02756788     ","동물용의료용구판매업","","","L00",""
"3220000","322000001320190006","20190719","","01","영업/정상","0000","정상","","","","","070-4870-4477","","","서울특별시 강남구 논현동 16-3번지 ","서울특별시 강남구 도산대로4길 12 장원빌딩 203호 (논현동)","06038","주식회사 봄프렌즈","20190719155656","I","2019-07-21 02:21:42.0","","201788.631995716    ","445940.200333341    ","동물용의료용구판매업","","","L00",""
"3230000","323000001320210002","20210120","","01","영업/정상","0000","정상","","","","","070-4792-3150","","","서울특별시 송파구 방이동 110 송암빌딩","서울특별시 송파구 백제고분로 446 송암빌딩 342호 (방이동)","05641","이현코리아","20210120100048","I","2020-11-30 22:02:00.0","","209896.270852095","445366.660997995","","","","",""
"3220000","322000001320190005","20190718","","01","영업/정상","0000","정상","","","","","02-557-2535","","","서울특별시 강남구 삼성동 143-28번지 동원빌딩 ","서울특별시 강남구 테헤란로77길 7 동원빌딩 (삼성동)","06159","GS25강남동원점","20190718133200","I","2019-07-20 02:21:41.0","","204746.52560931     ","444968.02756788     ","동물용의료용구판매업","","","L00",""
"3220000","322000001320190002","20190424","","01","영업/정상","0000","정상","","","","","02-2052-9900","","","서울특별시 강남구 역삼동 822-7번지 목화밀라트 ","서울특별시 강남구 테헤란로 113 목화밀라트 2층 (역삼동)","06134","(주)엘에스텍","20190424154919","I","2019-04-26 02:20:49.0","","202541.936344486    ","444085.407169519    ","동물용의료용구판매업","","","000",""
"3220000","322000001320190003","20190501","","01","영업/정상","0000","정상","","","","","02-6378-8777","","","서울특별시 강남구 세곡동 433-2번지 ","서울특별시 강남구 헌릉로569길 52-23 지하1층 (세곡동)","06376","메디레이","20190501164620","I","2019-05-03 02:20:36.0","","208530.352121062    ","440701.115748256    ","동물용의료용구판매업","","","000",""
"3220000","322000001320190004","20190515","","01","영업/정상","0000","정상","","","","","02-2088-4866","","","서울특별시 강남구 신사동 608-10번지 ","서울특별시 강남구 압구정로34길 26 4층 (신사동)","06022","(주)펫슬랩(PETXLAB)","20190515133831","I","2019-05-17 02:20:47.0","","202628.795701559    ","447126.299238418    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320190001","20190114","","01","영업/정상","0000","정상","","","","","02-558-0002","","","서울특별시 강남구 역삼동 605-12번지 대암빌딩 202호","서울특별시 강남구 봉은사로24길 9 대암빌딩 202호 (역삼동)","06125","주식회사 마벨파트너스","20190114133935","I","2019-01-16 02:20:50.0","","202824.919218223    ","444890.826939181    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320010002","20010427","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 강남구 삼성동 142-6번지 ","","","(주)에이취브라더스","20100617115756","I","2018-08-31 23:59:59.0","","204411.774291613    ","444853.967272591    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320010003","20010514","","01","영업/정상","0000","정상","","","","","3453-2600","0","","서울특별시 강남구 삼성동 166-4번지 준성빌딩 12 층 ","서울특별시 강남구 봉은사로108길 39 (삼성동)","06172","히타치아로카메디칼한국 주식회사","20150422112120","I","2018-08-31 23:59:59.0","","205686.697494217    ","445592.032748014    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320120001","20120625","","01","영업/정상","0000","정상","","","","","317-2725","","","서울특별시 강남구 대치동 890번지 T412 ","서울특별시 강남구 테헤란로 412 T412 13층 (대치동)","06193","한국조에티스 주식회사","20200327161040","U","2020-03-29 02:40:00.0","","202722.53183055     ","444055.07069569     ","동물용의료용구판매업","","","L00",""
"3220000","322000001320130001","20130401","","01","영업/정상","0000","정상","","","","","5424499","39.78","","","서울특별시 강남구 압구정로 461 지하1층 B111호 (청담동)","06011","(주)디트리커뮤니케이션즈","20130401142458","I","2018-08-31 23:59:59.0","","204106.015311916    ","447005.981863766    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320140001","20140602","","01","영업/정상","0000","정상","","","","","02-6201-3341","","","서울특별시 강남구 논현동 119번지 POBA강남타워 7층 8층 ","서울특별시 강남구 학동로 343 (논현동 POBA강남타워 7층 8층)","06060","지이헬스케어코리아(주)","20171123145413","I","2018-08-31 23:59:59.0","","203522.611749323    ","446136.224971923    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320140002","20140611","","01","영업/정상","0000","정상","","","","","6201-3341","","","경기도 성남시 중원구 상대원동 119번지 POBA 강남타워 7층 8층 ","서울특별시 강남구 학동로 343 (논현동 POBA 강남타워 7층 8층)","06060","지이헬스케어코리아(주)","20170808092610","I","2018-08-31 23:59:59.0","","215809.975356468    ","438371.11105825     ","동물용의료용구판매업","","","L00",""
"3220000","322000001320160001","20161109","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강남구 수서동 724번지 로즈데일오피스텔 1612호","서울특별시 강남구 광평로 280 1612호 (수서동 로즈데일오피스텔)","06367","강화메디테크","20161108222923","I","2018-08-31 23:59:59.0","","209052.072465426    ","442797.138150563    ","동물용의료용구판매업","","","000",""
"3220000","322000001320170001","20170817","","01","영업/정상","0000","정상","","","","","02-527-5358","","","서울특별시 강남구 역삼동 735번지 15층 ","서울특별시 강남구 테헤란로 132 15층 (역삼동 한독약품빌딩)","06235","(주)한독","20170817094903","I","2018-08-31 23:59:59.0","","202852.091533547    ","444118.060464957    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320180001","20180427","","01","영업/정상","0000","정상","","","","","","146.88","","서울특별시 강남구 세곡동 433-2번지 ","서울특별시 강남구 헌릉로569길 52-23 (세곡동)","06376","주식회사 레이투테크","20180427162156","I","2018-08-31 23:59:59.0","","208530.352121062    ","440701.115748256    ","동물용의료용구판매업","","","000",""
"3220000","322000001320180002","20180508","","01","영업/정상","0000","정상","","","","","070-8871-8877","","","서울특별시 강남구 역삼동 824-29번지 225호","서울특별시 강남구 테헤란로8길 22 화인빌딩 225호 (역삼동)","06233","클라이네독","20180508162649","I","2018-08-31 23:59:59.0","","202721.213833334    ","443912.486403479    ","동물용의료용구판매업","","","000",""
"3220000","322000001320180003","20180508","","01","영업/정상","0000","정상","","","","","02-6339-1800","","","서울특별시 강남구 역삼동 683-34번지 새롬빌딩 2층 ","서울특별시 강남구 선릉로 551 새롬빌딩 2층 (역삼동)","06145","주식회사 핏펫","20180508165119","I","2018-08-31 23:59:59.0","","203923.219525223    ","445068.877036978    ","동물용의료용구판매업","","","000",""
"3150000","315000001320200001","20200612","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강서구 화곡동 799-10번지 2-3호","서울특별시 강서구 곰달래로 245 (화곡동)","07741","한스테크","20200612183301","I","2019-12-05 23:04:00.0","","187579.647224357","447775.786483583","","","","",""
"3220000","322000001320210011","20210906","","01","영업/정상","0000","정상","","","","","02-1544-9667","","","서울특별시 강남구 삼성동 ***-**","서울특별시 강남구 선릉로**길 ** *층 (삼성동)","06160","주식회사 봄프렌즈","20210906092223","I","2020-12-09 00:08:00.0","","204543.308089275","444882.509077664","","","","",""
"3230000","323000001320210003","20210120","","01","영업/정상","0000","정상","","","","","","","","서울특별시 송파구 방이동 110 송암빌딩","서울특별시 송파구 백제고분로 446 송암빌딩 306호 (방이동)","05641","강윤글로벌","20210120111729","I","2020-11-30 22:02:00.0","","209896.270852095","445366.660997995","","","","",""
"3220000","322000001320180004","20180608","","01","영업/정상","0000","정상","","","","","02-569-4620","","","서울특별시 강남구 역삼동 789-4번지 영빌딩 ","서울특별시 강남구 역삼로 150 영빌딩 (역삼동)","06249","폴리파크 역삼점","20180608135330","I","2018-08-31 23:59:59.0","","203094.426937191    ","443599.244517715    ","동물용의료용구판매업","","","000",""
"3220000","322000001320200002","20200328","","01","영업/정상","0000","정상","","","","","","","","서울특별시 강남구 청담동 84-14번지 ","서울특별시 강남구 도산대로55길 37 피지에스빌딩 3층 (청담동)","06014","주식회사 키베이직","20200330135609","I","2020-04-01 00:23:21.0","","203530.921803555    ","447093.065729941    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320180006","20181120","","03","폐업","0002","폐업","20200508","","","","","","","서울특별시 강남구 도곡동 943-2번지 서한빌딩 ","서울특별시 강남구 도곡로 112 서한빌딩 2층 (도곡동)","06258","스피어텐","20200508153308","U","2020-05-10 02:40:00.0","","202835.924249933    ","443051.27224413     ","동물용의료용구판매업","","","L00",""
"3220000","322000001319980001","19980725","","03","폐업","0002","폐업","20180213","","","","","0","","서울특별시 강남구 역삼동 839-15  번지 ","","","상정상사","20180214110006","I","2018-08-31 23:59:59.0","","","","동물용의료용구판매업","","","000",""
"3220000","322000001319990001","19990115","","03","폐업","0002","폐업","20100705","","","","","0","","서울특별시 강남구 신사동 547번지 영화빌딩 3층 ","","","영인과학","20100705140328","I","2018-08-31 23:59:59.0","","201938.162932107    ","446799.301808945    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320010001","20010723","","03","폐업","0002","폐업","20031120","","","","","0","","서울특별시 강남구 포이동 207-9   번지 가람빌딩 301호 ","","","(주)장백베트컴","20031120094602","I","2018-08-31 23:59:59.0","","","","동물용의료용구판매업","","","L00",""
"3220000","322000001320010004","20011105","","03","폐업","0002","폐업","20070528","","","","","0","","서울특별시 강남구 역삼동 683-31  번지 경도빌딩 ","","","호진산업기연(주)","20070528145201","I","2018-08-31 23:59:59.0","","","","동물용의료용구판매업","","","L00",""
"3220000","322000001320020002","20020627","","03","폐업","0002","폐업","20070319","","","","541-4541","0","","서울특별시 강남구 신사동 663-7번지 3층 ","","","(주)루터슨","20070319165243","I","2018-08-31 23:59:59.0","","203308.327402517    ","447145.986045698    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320030001","20030326","","03","폐업","0002","폐업","20070528","","","","","0","","서울특별시 강남구 논현동 128-7   번지 306호 ","","","대원아로마","20070528151055","I","2018-08-31 23:59:59.0","","","","동물용의료용구판매업","","","000",""
"3220000","322000001320030002","20030902","","03","폐업","0002","폐업","20040701","","","","","0","","서울특별시 강남구 삼성동 140-17번지 외 1필지  유니콘빌딩 3층 ","","","동방의료기(주)","20040701143439","I","2018-08-31 23:59:59.0","","204308.797361501    ","444932.157842043    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320180005","20181029","","03","폐업","0002","폐업","20200120","","","","535-7377","","","서울특별시 강남구 대치동 936번지 ","서울특별시 강남구 선릉로 312 3층 2호 (대치동)","06206","강아지아이돌","20200120104335","U","2020-01-22 02:40:00.0","","204588.187890406    ","443925.244459883    ","동물용의료용구판매업","","","000",""
"3220000","322000001320100001","20100608","","03","폐업","0002","폐업","20120704","","","","3450-7997","0","","서울특별시 강남구 역삼동 726번지 아세아타워빌딩 17층 ","","","지멘스 주식회사","20120704172657","I","2018-08-31 23:59:59.0","","203322.983389766    ","444096.332398546    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320130002","20130724","","03","폐업","0002","폐업","20160811","","","","3450-0706","","","","서울특별시 강남구 테헤란로 607 (삼성동)","06173","캐논코리아비즈니스솔루션(주)","20160812091143","I","2018-08-31 23:59:59.0","","205586.189628979    ","445254.271975766    ","동물용의료용구판매업","","","L00",""
"3220000","322000001320140003","20141230","","03","폐업","0002","폐업","20170706","","","","02-9600-9400","","","서울특별시 강남구 청담동 72-1번지 1층2층3층4층 ","서울특별시 강남구 학동로 521 1234층 (청담동)","06072","아스렉스코리아 유한회사","20170706155619","I","2018-08-31 23:59:59.0","","204857.596666666    ","446421.32           ","동물용의료용구판매업","","","L00",""
"3220000","322000001319960001","19960528","","03","폐업","0002","폐업","20070322","","","","","0","","서울특별시 강남구 청담동 50-3   번지 삼성빌딩 202호 ","","","한국라이프게어(주)","20070322164708","I","2018-08-31 23:59:59.0","","","","동물용의료용구판매업","","","L00",""
"3220000","322000001319960002","19960916","","03","폐업","0002","폐업","20070528","","","","02-538-5200","0","","서울특별시 강남구 역삼동 747-3번지 명우빌딩 3층 ","","","(주)에스와이메디케어","20070528092959","I","2018-08-31 23:59:59.0","","203241.200111897    ","443708.650395775    ","동물용의료용구판매업","","","L00",""
"3220000","322000001319960003","19961031","","03","폐업","0002","폐업","20070529","","","","","0","","서울특별시 강남구 대치동 897-26  번지 동선빌딩 302호 ","","","주성메디칼","20070529151145","I","2018-08-31 23:59:59.0","","","","동물용의료용구판매업","","","000",""
"3220000","322000001319970001","19970524","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","서울특별시 강남구 삼성동 166-3번지 경인빌딩 204호 ","","","대선메디칼상사","20070725111829","I","2018-08-31 23:59:59.0","","205711.214362101    ","445611.034751079    ","동물용의료용구판매업","","","000",""
"3220000","322000001320000001","20000318","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","서울특별시 강남구 대치동 1001-4번지 소남빌딩 1층 ","","","일천상역(주)","20070725112221","I","2018-08-31 23:59:59.0","","205664.855321912    ","445049.257588426    ","동물용의료용구판매업","","","L00",""
"3140000","314000001320020001","20020814","","03","폐업","0002","폐업","20200708","","","","692-6074","73.7","","서울특별시 양천구 신정동 939-1 일광빌딩 4층","","","(주)에릭스","20200709083053","U","2019-12-06 23:01:00.0","","186679.515116362","447124.449385415","","","","",""
"3060000","306000001320210001","20210118","","01","영업/정상","0000","정상","","","","","","","","서울특별시 중랑구 면목동 91-36 202호","서울특별시 중랑구 봉우재로36길 12 202호 (면목동)","02155","이번쭈","20210118163625","I","2020-11-30 22:00:00.0","","207709.452051737","454455.551533311","","","","",""
"3230000","323000001320210004","20210120","","01","영업/정상","0000","정상","","","","","","","","서울특별시 송파구 잠실동 35 트리지움","서울특별시 송파구 잠실로 62 310동 901호 (잠실동 트리지움)","05555","마일드마켓","20210120113509","I","2020-11-30 22:02:00.0","","207849.576769863","445299.913591118","","","","",""
"3220000","322000001320020001","20020207","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","서울특별시 강남구 역삼동 726-1번지 근도빌 4층 ","","","(주)소프트바이오기술","20070725112053","I","2018-08-31 23:59:59.0","","203359.392915648    ","444050.063507654    ","동물용의료용구판매업","","","L00",""
"3220000","322000001319890001","19890218","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","서울특별시 강남구 역삼동 831번지 해천빌딩 305호 ","","","(주)우성과학","20070725110850","I","2018-08-31 23:59:59.0","","202558.966746035    ","443605.422218418    ","동물용의료용구판매업","","","L00",""
"3220000","322000001319950001","19950607","","04","취소/말소/만료/정지/중지","0004","말소","","","","","","0","","서울특별시 강남구 포이동 214-4번지 삼환빌딩 202호 ","","","동진상사","20070725111354","I","2018-08-31 23:59:59.0","","","","동물용의료용구판매업","","","000",""
