개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명
3210000,3.21E+17,20000711,,1,영업/정상,0,정상,,,,,02-3444-7509,288.16,,서울특별시 서초구 반포동 722-29,서울특별시 서초구 강남대로 525-3 (반포동),6536,라파엘동물병원
3110000,3.11E+17,20060126,,1,영업/정상,0,정상,,,,,354-0975,4717.94,,서울특별시 은평구 구산동 1-1번지,서울특별시 은평구 연서로 137 (구산동),3412,로얄동물병원
3080000,3.08E+17,20150605,,1,영업/정상,0,정상,,,,,02-984-7588,36.44,,서울특별시 강북구 미아동 1357-6번지 미아프라자 106호,서울특별시 강북구 삼양로27길 35-21 미아프라자 106호 (미아동),1196,H 동물병원
3000000,3.00E+17,20021025,,1,영업/정상,0,정상,,,,,391-4575,46.22,,서울특별시 종로구 홍지동 127-7번지 5통5반 지층 3호,서울특별시 종로구 자하문로 293 (홍지동),3021,북악동물병원
3000000,3.00E+17,20060327,,1,영업/정상,0,정상,,,,,3917502,0,,서울특별시 종로구 홍지동 126-8번지 ,서울특별시 종로구 자하문로 305 (홍지동),,올리브동물병원
3000000,3.00E+17,20130514,,4,취소/말소/만료/정지/중지,4,말소,,,,,379-7575,0,,서울특별시 종로구 신영동 249-6번지 ,서울특별시 종로구 진흥로 473 (신영동),3007,월드펫동물병원
3070000,3.07E+17,20090414,,1,영업/정상,0,정상,,,,,953-0075,266.58,,서울특별시 성북구 동소문동6가 3-1 1층,서울특별시 성북구 동소문로 73 1층 (동소문동6가 시티플레이스),2830,VIP 동물의료센터
3210000,3.21E+17,20150602,,1,영업/정상,0,정상,,,,,02-2135-9119,1447.31,,서울특별시 서초구 반포동 19-1 르본시티 2층,서울특별시 서초구 신반포로 162 (반포동 르본시티 2층),6546,헬릭스동물메디컬센터
3220000,3.22E+17,20210406,,1,영업/정상,0,정상,,,,,02-511-7522,,,서울특별시 강남구 청담동 46 베디베로스퀘어,서울특별시 강남구 삼성로133길 7 베디베로스퀘어 234층 (청담동),6068,VIP동물의료센터 청담점
3200000,3.20E+17,20160411,,1,영업/정상,0,정상,,,,,02-887-1575,228.9,,서울특별시 관악구 신림동 10-631,서울특별시 관악구 남부순환로 1678 1 2층 (신림동),8780,이로동물의료센터
3060000,3.06E+17,20201109,,1,영업/정상,0,정상,,,,,949-7577,0,,서울특별시 중랑구 묵동 238-8 하태윤산부인과,서울특별시 중랑구 동일로 925 3층 (묵동),2005,치료해 주오
3000000,3.00E+17,20010604,,4,취소/말소/만료/정지/중지,4,말소,,,,,732-3827,0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042,효자동물병원
3000000,3.00E+17,19950811,,3,폐업,2,폐업,20040807,,,,,20.3,,서울특별시 종로구 평창동 289-2   번지 ,,,평화동물병원
3000000,3.00E+17,20130311,,3,폐업,2,폐업,20151021,,,,733-5060,0,,서울특별시 종로구 무악동 ,서울특별시 종로구 통일로 238 지층 (무악동),3030,독립문동물병원
3000000,3.00E+17,19750506,,3,폐업,2,폐업,20130307,,,,,0,,서울특별시 종로구 연건동 188번지 ,,,홍수의과병원
3000000,3.00E+17,20130304,,3,폐업,2,폐업,20181030,,,,732-3827,0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042,효자동물병원
3000000,3.00E+17,20070323,,3,폐업,2,폐업,20170723,,,,3216-7582,22.21,,서울특별시 종로구 평창동 402-17번지 14통2반 세방테크빌 504호,서울특별시 종로구 평창문화로 31 (평창동),3008,평창동물병원
3000000,3.00E+17,20051024,,3,폐업,2,폐업,20170704,,,,764-0075,196,,서울특별시 종로구 명륜1가 135번지 한신1차아파트4-1506 ,서울특별시 종로구 혜화로 11 (명륜1가),3068,성현동물병원
3000000,3.00E+17,20040908,,3,폐업,2,폐업,20070226,,,,3216-7582,26.29,,서울특별시 종로구 평창동 289-2번지 ,서울특별시 종로구 세검정로 313 (평창동),,평창동물병원
3000000,3.00E+17,20130304,,2,휴업,1,휴업,,,,,732-3827,0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042,효자동물병원
3030000,3.03E+17,20030415,,3,폐업,2,폐업,20201024,,,,02-463-9690,25,,서울특별시 성동구 성수동1가 656-565,서울특별시 성동구 왕십리로 100 (성수동1가),4778,성수동물병원
3000000,3.00E+17,20010604,,2,휴업,1,휴업,,,,,732-3827,0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042,효자동물병원
3000000,3.00E+17,20010604,,2,휴업,1,휴업,,,,,732-3827,0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042,효자동물병원
3000000,3.00E+17,20130304,,2,휴업,1,휴업,,,,,7323827,0,,서울특별시 종로구 효자동 31번지 ,서울특별시 종로구 자하문로 66-2 (효자동),3042,효자동물병원
3000000,3.00E+17,20200517,,1,영업/정상,0,정상,,,,,02-733-6030,326.5,,서울특별시 종로구 신교동 70-10번지 ,서울특별시 종로구 자하문로 95 신교빌딩 1층 (신교동),3032,선동물병원
3000000,3.00E+17,19950905,,1,영업/정상,0,정상,,,,,3672-8441,53.7,,서울특별시 종로구 명륜2가 5-99번지 1통3반 방산빌라 402호,서울특별시 종로구 창경궁로 261 (명륜2가),3075,대학로동물병원
3160000,3.16E+17,20210906,,1,영업/정상,0,정상,,,,,02-2687-7582,,,서울특별시 구로구 항동 121-1 203 204호,서울특별시 구로구 서해안로 2096 203 204호 (항동),8368,클로버 동물병원
3000000,3.00E+17,20011211,,1,영업/정상,0,정상,,,,,02-744-9098,0,,서울특별시 종로구 창신동 80-1,서울특별시 종로구 지봉로 53-1 (창신동),,해동물병원
3000000,3.00E+17,20090708,,1,영업/정상,0,정상,,,,,02-735-7530,45,,서울특별시 종로구 내자동 125-3번지 ,서울특별시 종로구 사직로12길 2 (내자동),,누리봄동물병원
3000000,3.00E+17,20080306,,1,영업/정상,0,정상,,,,,3676-1190,42.58,,서울특별시 종로구 숭인동 52-8번지 ,서울특별시 종로구 지봉로 96-3 (숭인동),,우리동물병원
3010000,3.01E+17,19750930,,3,폐업,2,폐업,20040117,,,,2238-6306,0,,서울특별시 중구 신당동 370-58번지 ,서울특별시 중구 다산로 145-1 (신당동),,문화동물병원
3010000,3.01E+17,20040126,,3,폐업,2,폐업,20050415,,,,,77.37,,서울특별시 중구 중림동 200번지 삼성사이버빌리지 상가 2동 1층 103-1호 ,서울특별시 중구 중림로 10 (중림동삼성사이버빌리지 상가 2동 1층 103-1호),,충정동물병원
3000000,3.00E+17,19990423,,1,영업/정상,0,정상,,,,,379-7575,0,,서울특별시 종로구 신영동 1-11,서울특별시 종로구 진흥로 477-1 (신영동),3007,월드펫동물병원
3010000,3.01E+17,20030905,,3,폐업,2,폐업,20060315,,,,02-2266-7156,1394.05,,서울특별시 중구 필동2가 37-10  번지 구인빌딩 1층 ,,,Zoo동물병원
3010000,3.01E+17,20030117,,3,폐업,2,폐업,20040726,,,,2266-6686,1003.67,,서울특별시 중구 충무로4가 95-1   번지 일우빌딩 202호 ,,,제일동물병원
3010000,3.01E+17,20020830,,3,폐업,2,폐업,20090803,,,,2231-9388,0,,서울특별시 중구 신당동 294-63번지 ,,,청구동물병원
3010000,3.01E+17,20000526,,3,폐업,2,폐업,20040520,,,,2234-7582,0,,서울특별시 중구 신당동 36-93번지 ,,,푸른약수동물병원
3010000,3.01E+17,19981207,,3,폐업,2,폐업,20080103,,,,2263-8388,0,,서울특별시 중구 충무로5가 76-2번지 ,서울특별시 중구 퇴계로 238 (충무로5가),,동국동물병원
3010000,3.01E+17,20160104,,3,폐업,2,폐업,20180904,,,,02-742-6021,14.96,,서울특별시 중구 신당동 432-90번지 ,서울특별시 중구 동호로11길 32 1층 (신당동),4598,올댓동물병원
3010000,3.01E+17,20150204,,3,폐업,2,폐업,20200114,,,,02-2237-7582,117.26,,서울특별시 중구 신당동 844번지 남산타운 ,서울특별시 중구 다산로 32 스포츠센터동 106-2호 (신당동 남산타운),4595,그녀의 동물병원
3010000,3.01E+17,20130925,,3,폐업,2,폐업,20190630,,,,070-8868-7585,0,,서울특별시 중구 황학동 2545번지 롯데캐슬베네치아 ,서울특별시 중구 청계천로 400 지하2층 (황학동 롯데캐슬베네치아),4572,웰니스 클리닉(청계천점)
3010000,3.01E+17,20190327,,3,폐업,2,폐업,20200120,,,,02-2210-2539,223.6,,서울특별시 중구 신당동 309-50번지 한국양봉농협 본점 ,서울특별시 중구 다산로 178 한국양봉농협 본점 5층 (신당동),4589,한국양봉농협 동물병원
3010000,3.01E+17,19900925,,1,영업/정상,0,정상,,,,,2274-8558,0,,서울특별시 중구 필동2가 53번지 ,서울특별시 중구 퇴계로 226 (필동2가),4624,윤신근박사동물병원
3010000,3.01E+17,20110330,,1,영업/정상,0,정상,,,,,2256-7582,46.2,,서울특별시 중구 신당동 373-64번지 ,서울특별시 중구 동호로 178 (신당동),4590,웰펫동물병원
3010000,3.01E+17,19950512,,1,영업/정상,0,정상,,,,,2278-0075,0,,서울특별시 중구 묵정동 32-1번지 ,서울특별시 중구 퇴계로 254-1 (묵정동),4619,황동물병원
3010000,3.01E+17,19920212,,1,영업/정상,0,정상,,,,,2237-3366,306,,서울특별시 중구 신당동 336-3번지 명덕빌딩 ,서울특별시 중구 다산로 175 명덕빌딩 (신당동),4608,바우미우동물병원
3010000,3.01E+17,20011226,,1,영업/정상,0,정상,,,,,2233-7574,242.41,,서울특별시 중구 신당동 368-19번지 ,서울특별시 중구 다산로 107 2층 (신당동),4598,미래지동물의료센터
3010000,3.01E+17,20020810,,1,영업/정상,0,정상,,,,,2256-8275,0,,서울특별시 중구 신당동 844번지 남산타운 ,서울특별시 중구 다산로 32 5상가동 217호 (신당동 남산타운),4595,남산동물병원
3010000,3.01E+17,19950802,,1,영업/정상,0,정상,,,,,2263-6134,0,,서울특별시 중구 충무로4가 93-1번지 ,서울특별시 중구 퇴계로 227 (충무로4가),4558,대한동물병원
3010000,3.01E+17,20140620,,1,영업/정상,0,정상,,,,,02-2233-6675,44.77,,서울특별시 중구 신당동 44-17번지 ,서울특별시 중구 다산로36길 83 1층 (신당동),4584,좋아요 동물병원
3010000,3.01E+17,20110630,,1,영업/정상,0,정상,,,,,02-393-7588,0,,서울특별시 중구 만리동2가 288번지 서울역한라비발디센트럴 ,서울특별시 중구 만리재로 177 105호 (만리동2가 서울역한라비발디센트럴),4501,백슬동물병원
3010000,3.01E+17,20190620,,1,영업/정상,0,정상,,,,,02-2234-7585,52.89,,서울특별시 중구 황학동 2545번지 롯데캐슬베네치아 ,서울특별시 중구 청계천로 400 지하 1층 (황학동 롯데캐슬베네치아),4572,웰니스클리닉(청계천점)
3010000,3.01E+17,20190513,,1,영업/정상,0,정상,,,,,02-2038-7555,91,,서울특별시 중구 신당동 102-6번지 ,서울특별시 중구 다산로 230 하나빌딩 1층 (신당동),4585,메종동물병원
3010000,3.01E+17,20050303,,3,폐업,2,폐업,20060403,,,,2235-1533,210,,서울특별시 중구 신당동 422-1   번지 청화빌딩 지하1층 ,,,행복한둥지동물병원
3230000,3.23E+17,20210906,,1,영업/정상,0,정상,,,,,,0,,서울특별시 송파구 오금동 95-1 이화빌딩,서울특별시 송파구 중대로 320 이화빌딩 1층 (오금동),5720,엘 동물병원
3020000,3.02E+17,20161021,,1,영업/정상,0,정상,,,,,02-792-2561,48,,서울특별시 용산구 용산동5가 24번지 파크타워 지하1층 비21호,서울특별시 용산구 서빙고로 67 지하1층 비21호 (용산동5가 파크타워),4385,바다동물병원(Bada Animal Hospital)
3020000,3.02E+17,20131028,,1,영업/정상,0,정상,,,,,02-790-7508,42.75,,서울특별시 용산구 용산동2가 45-1번지 106호 ,서울특별시 용산구 신흥로 54 106호 (용산동2가 북동연립),4339,퍼스동물병원
3020000,3.02E+17,20130506,,1,영업/정상,0,정상,,,,,02-797-4408,321.89,,서울특별시 용산구 한남동 657-121번지 지상2층 ,서울특별시 용산구 대사관로 41 지상2층 (한남동),4401,동물병원 메이
3020000,3.02E+17,20120620,,1,영업/정상,0,정상,,,,,797-6677,140.4,,서울특별시 용산구 이태원동 531번지 지상12층 ,서울특별시 용산구 녹사평대로 210 지상12층 (이태원동),4345,이태원동물병원
3030000,3.03E+17,20030906,,3,폐업,2,폐업,20040730,,,,02-467-0975,59.2,,서울특별시 성동구 성수동2가 333-16  번지 이마트 성수점 3층 ,,,아이러브 팻 동물병원
3010000,3.01E+17,20160211,,1,영업/정상,0,정상,,,,,02-2232-7975,67.91,,서울특별시 중구 황학동 2523 황학 아크로타워,서울특별시 중구 퇴계로 447 1층 131호 (황학동 황학 아크로타워),4575,바른동물병원
3020000,3.02E+17,20120307,,1,영업/정상,0,정상,,,,,707-2235,94.77,,서울특별시 용산구 산천동 202번지 삼성테마트 119호 ,서울특별시 용산구 원효로 51 119호 (산천동 삼성테마트),4359,민트동물병원
3020000,3.02E+17,20120118,,1,영업/정상,0,정상,,,,,790-9808,0,,서울특별시 용산구 보광동 80-11번지 ,서울특별시 용산구 보광로 22-1 (보광동),4415,보광동물병원
3020000,3.02E+17,20120102,,1,영업/정상,0,정상,,,,,794-1255,191,,서울특별시 용산구 한남동 707-36번지 한남프라자 2층 ,서울특별시 용산구 한남대로 76 한남프라자 2층 (한남동),4418,달래동물의료센터
3020000,3.02E+17,20021230,,1,영업/정상,0,정상,,,,,719-7070,0,,서울특별시 용산구 원효로2가 30-4번지 ,서울특별시 용산구 원효로 187 (원효로2가),4364,원효종합동물병원
3020000,3.02E+17,20030801,,1,영업/정상,0,정상,,,,,749-8275,0,,서울특별시 용산구 용산동2가 45-7번지 ,서울특별시 용산구 신흥로 36-1 (용산동2가),4339,한사랑동물병원
3020000,3.02E+17,20110819,,1,영업/정상,0,정상,,,,,706-7975,0,,서울특별시 용산구 산천동 93-1번지 ,서울특별시 용산구 효창원로 14 (산천동),4360,차오름동물병원
3020000,3.02E+17,20110131,,1,영업/정상,0,정상,,,,,3275-0079,52.63,,서울특별시 용산구 효창동 79-1번지 지상1층 ,서울특별시 용산구 백범로 285 지상1층 (효창동),4318,펫동물병원
3020000,3.02E+17,20150206,,1,영업/정상,0,정상,,,,,02-703-0075,66.34,,서울특별시 용산구 원효로1가 133-3번지 리첸시아 용산 B동 113114호 ,서울특별시 용산구 백범로 341 B동 지상1층 113114호 (원효로1가 리첸시아 용산),4315,좋아서하는 동물병원
3020000,3.02E+17,20021227,,1,영업/정상,0,정상,,,,,3273-0075,0,,서울특별시 용산구 원효로2가 84-10번지 신영빌딩 ,서울특별시 용산구 원효로 171 신영빌딩 (원효로2가),4364,열린동물종합병원
3020000,3.02E+17,20021227,,1,영업/정상,0,정상,,,,,793-9230,0,,서울특별시 용산구 한남동 642-4번지 ,서울특별시 용산구 대사관로24길 28 (한남동),4402,한남동물병원
3020000,3.02E+17,20021223,,1,영업/정상,0,정상,,,,,749-6750,0,,서울특별시 용산구 보광동 259-1번지 용호빌딩 202호 203호 ,서울특별시 용산구 보광로 46 용호빌딩 지상2층 202203호 (보광동),4414,21세기동물병원
3020000,3.02E+17,20190419,,1,영업/정상,0,정상,,,,,02-719-8275,,,서울특별시 용산구 청파동2가 90-20번지 지상1층 ,서울특별시 용산구 청파로47길 16 지상1층 (청파동2가),4309,원스동물병원
3020000,3.02E+17,20021223,,3,폐업,2,폐업,20050624,,,,792-7602,1,,서울특별시 용산구 이태원동 21-1   번지 ,,,청화동물병원
3130000,3.13E+17,20210526,,1,영업/정상,0,정상,,,,,02-376-7675,,,서울특별시 마포구 성산동 151-6,서울특별시 마포구 월드컵북로 218 2층 (성산동),3941,키다리 동물병원
3020000,3.02E+17,20021223,,3,폐업,2,폐업,20191029,,,,754-4978,1,,서울특별시 용산구 후암동 216번지 ,서울특별시 용산구 후암로 13-2 (후암동),4335,이수의과의원
3020000,3.02E+17,20070111,,3,폐업,2,폐업,20100721,,,,796-5008,13.75,,서울특별시 용산구 이태원동 226-7번지 불럭 ,서울특별시 용산구 회나무로 43 (이태원동불럭),,갤러리동물병원
3020000,3.02E+17,20060824,,3,폐업,2,폐업,20070126,,,,790-2344,32.04,,서울특별시 용산구 이촌동 301-162번지 현대상가 라동 102호,,,칼리스동물병원
3020000,3.02E+17,20060113,,3,폐업,2,폐업,20150515,,,,797-5300,49.42,,서울특별시 용산구 이촌동 300-26번지 한강맨션 21동106-1호 ,서울특별시 용산구 이촌로 248 21동106-1호 (이촌동 한강맨션),4426,이촌종합동물병원
3020000,3.02E+17,20051230,,3,폐업,2,폐업,20110314,,,,02-792-5455,48.36,,서울특별시 용산구 이촌동 300-23번지 ,서울특별시 용산구 이촌로 248 (이촌동),,이상윤동물병원
3020000,3.02E+17,20051206,,3,폐업,2,폐업,20110817,,,,706-7975,64.68,,서울특별시 용산구 산천동 93-1번지 ,서울특별시 용산구 효창원로 14 (산천동),,차오름동물병원
3020000,3.02E+17,20050513,,3,폐업,2,폐업,20060823,,,,02-790-2344,32.02,,서울특별시 용산구 이촌동 301-162 번지 현대상가 라-102 ,,,칼리스 동물병원
3020000,3.02E+17,20101209,,3,폐업,2,폐업,20110930,,,,2012-3875,84.04,,서울특별시 용산구 한강로3가 40-999번지 아이파크몰 문화관 4층 ,,,쿨펫동물병원
3020000,3.02E+17,20090108,,3,폐업,2,폐업,20101206,,,,2012-3875,84.02,,서울특별시 용산구 한강로3가 40-999번지 아이파크몰 문화과4층 ,,,쿨펫동물병원
3020000,3.02E+17,20150106,,3,폐업,2,폐업,20180514,,,,02-2012-1256,,,서울특별시 용산구 한강로3가 40-999번지 ,서울특별시 용산구 한강대로23길 55 (한강로3가 이마트 지하2층 내),4377,펫세상 동물병원
3020000,3.02E+17,20130723,,3,폐업,2,폐업,20140508,,,,790-9775,104.43,,서울특별시 용산구 이태원동 64-56번지 ,서울특별시 용산구 이태원로20길 2-12 12층 (이태원동),4391,심 동물병원
3020000,3.02E+17,20120514,,3,폐업,2,폐업,20150106,,,,2012-1256,,,서울특별시 용산구 한강로3가 40-999번지 지하2층 ,서울특별시 용산구 한강대로23길 55 지하2층 (한강로3가),4377,펫프렌즈동물병원용산점
3020000,3.02E+17,20110930,,3,폐업,2,폐업,20171011,,,,2012-3875,245.54,,서울특별시 용산구 한강로3가 40-999번지 2통5반 아이파크몰 패션관 ,서울특별시 용산구 한강대로23길 55 5층 (한강로3가 아이파크몰 패션관),4377,러브펫동물병원
3020000,3.02E+17,20021230,,3,폐업,2,폐업,20101217,,,,790-0475,0,,서울특별시 용산구 이태원동 662번지 ,서울특별시 용산구 회나무로 9 (이태원동),,ANYPET동물병원
3020000,3.02E+17,20021230,,3,폐업,2,폐업,20080630,,,,724-4882,0,,서울특별시 용산구 원효로1가 23-3   번지 ,,,용마종합동물병원
3020000,3.02E+17,20021227,,3,폐업,2,폐업,20051226,,,,749-1433,0,,서울특별시 용산구 한남동 29-14  번지 ,,,세하동물병원
3020000,3.02E+17,20021227,,3,폐업,2,폐업,20030801,,,,749-8275,0,,서울특별시 용산구 용산동2가 45-7   번지 ,,,한사랑동물병원
3020000,3.02E+17,20021227,,3,폐업,2,폐업,20030520,,,,796-1021,0,,서울특별시 용산구 한남동 653-26  번지 ,,,펫토이동물병원
3020000,3.02E+17,20021227,,3,폐업,2,폐업,,,,,790-9808,0,,서울특별시 용산구 보광동 80-11번지 ,서울특별시 용산구 보광로 22-1 (보광동),,보광동물병원
3020000,3.02E+17,20040527,,3,폐업,2,폐업,20150605,,,,6375-8275,3760,,서울특별시 용산구 한남동 72-1번지 한남리첸시아 비동 117호 ,서울특별시 용산구 한남대로 60 (한남동한남리첸시아 비동 117호),,한스동물병원
3020000,3.02E+17,20030804,,3,폐업,2,폐업,20031022,,,,794-7588,0,,서울특별시 용산구 보광동 265-961번지 ,서울특별시 용산구 우사단로10길 80 (보광동),,성심동물병원
3020000,3.02E+17,20031014,,3,폐업,2,폐업,20060908,,,,,0,,서울특별시 용산구 이태원동 226-7번지 ,서울특별시 용산구 회나무로 43 (이태원동),,갤러리동물병원
3020000,3.02E+17,20110504,,3,폐업,2,폐업,,,,,2012-1256,75.35,,서울특별시 용산구 한강로3가 40-999번지 (지하2층) ,,,펫프렌즈동물병원용산점
3020000,3.02E+17,20050228,,3,폐업,2,폐업,20051013,,,,795-2184,12.5,,서울특별시 용산구 한남동 653-26  번지 ,,,펫토이 동물병원
3020000,3.02E+17,20050222,,3,폐업,2,폐업,20050513,,,,790-2344,32.04,,서울특별시 용산구 이촌동 301-162 번지 현대상가 라동 ,,,칼리'S 동물병원
3020000,3.02E+17,20041112,,3,폐업,2,폐업,20050221,,,,,512,,서울특별시 용산구 이촌동 301162번지 현대상가 라 동 ,,,칼라'S종합동물병원
3020000,3.02E+17,20080205,,3,폐업,2,폐업,20090102,,,,02-2012-3875,84,,서울특별시 용산구 한강로3가 40-999번지 용산아이파크몰 4층 ,,,쿨펫동물병원
3020000,3.02E+17,20071129,,3,폐업,2,폐업,20080527,,,,3789-0075,26,,서울특별시 용산구 후암동 415-37번지 블럭 ,,,후암동물병원
3020000,3.02E+17,20030103,,3,폐업,2,폐업,20030929,,,,797-2254,1,,서울특별시 용산구 이태원동 226-7번지 ,서울특별시 용산구 회나무로 43 (이태원동),,갤러리동물병원
3020000,3.02E+17,20021227,,3,폐업,2,폐업,20051212,,,,792-5455,0,,서울특별시 용산구 이촌동 300-26  번지 한강아파트상가 21동 106호 ,,,이상윤동물병원
3030000,3.03E+17,20030610,,3,폐업,2,폐업,20101230,,,,2298-7975,45.64,,서울특별시 성동구 응봉동 228-17  번지 ,,,내친구동물병원
3020000,3.02E+17,20021227,,3,폐업,2,폐업,20031210,,,,795-8608,0,,서울특별시 용산구 이촌동 301-151번지 로얄상가106호 ,서울특별시 용산구 이촌로 245 (이촌동로얄상가106호),,구림동물병원
3020000,3.02E+17,20041007,,3,폐업,2,폐업,20110428,,,,2012-1256,0,,서울특별시 용산구 한강로3가 40-999번지 (지하2층 이마트내) ,,,펫프렌즈동물병원
3020000,3.02E+17,20021223,,3,폐업,2,폐업,,,,,794-4945,0,,서울특별시 용산구 이태원동 531번지 ,서울특별시 용산구 녹사평대로 210 (이태원동),4345,이태원동물병원
3020000,3.02E+17,20021216,,3,폐업,2,폐업,20021216,,,,796-5008,0,,서울특별시 용산구 이태원동 226-7번지 ,서울특별시 용산구 회나무로 43 (이태원동),,갤러리동물병원
3020000,3.02E+17,20021230,,3,폐업,2,폐업,20030214,,,,794-7588,0,,서울특별시 용산구 보광동 265-961번지 ,서울특별시 용산구 우사단로10길 80 (보광동),,성심동물병원
3020000,3.02E+17,20021230,,3,폐업,2,폐업,20070604,,,,713-0075,0,,서울특별시 용산구 원효로2가 4-45  번지 ,,,퍼피119동물병원
3020000,3.02E+17,20030521,,3,폐업,2,폐업,20050224,,,,710-1021,494,,서울특별시 용산구 한남동 653-26  번지 ,,,펫토이동물병원
3020000,3.02E+17,20030304,,3,폐업,2,폐업,20030801,,,,794-7588,0,,서울특별시 용산구 보광동 265-961번지 ,서울특별시 용산구 우사단로10길 80 (보광동),,성심동물병원
3020000,3.02E+17,20021223,,1,영업/정상,0,정상,,,,,711-4527,0,,서울특별시 용산구 효창동 70-11번지 ,서울특별시 용산구 백범로 293 (효창동),4317,효창동물병원
3020000,3.02E+17,20021223,,1,영업/정상,0,정상,,,,,778-7582,51.4,,서울특별시 용산구 후암동 63-1번지 지상1층 ,서울특별시 용산구 후암로 51 지상1층 (후암동),4325,남산동물병원
3020000,3.02E+17,20051104,,1,영업/정상,0,정상,,,,,795-2184,36.19,,서울특별시 용산구 한남동 653-26번지 ,서울특별시 용산구 대사관로 32 (한남동),4403,펫토이동물병원
3020000,3.02E+17,20110126,,1,영업/정상,0,정상,,,,,713-0053,32.4,,서울특별시 용산구 원효로1가 133-3번지 리첸시아 용산 A동 106호,서울특별시 용산구 백범로 341 A동 지상1층 106호 (원효로1가 리첸시아 용산),4315,엉클장동물병원
3110000,3.11E+17,20210908,,1,영업/정상,0,정상,,,,,,217,,서울특별시 은평구 진관동 63 롯데몰 은평점,서울특별시 은평구 통일로 1050 롯데몰 은평점 2층 (진관동),3306,아이러브펫동물병원 은평점
3020000,3.02E+17,20090501,,1,영업/정상,0,정상,,,,,792-7585,0,,서울특별시 용산구 이태원동 225-93번지 ,서울특별시 용산구 회나무로13길 6 (이태원동),4344,라온동물병원
3210000,3.21E+17,20031201,,1,영업/정상,0,정상,,,,,02-586-7501,92.8,,서울특별시 서초구 서초동 1343-1,서울특별시 서초구 효령로 384 (서초동),,메디펫 동물병원
3020000,3.02E+17,20170308,,1,영업/정상,0,정상,,,,,02-749-7588,40.51,,서울특별시 용산구 이촌동 300-23번지 한강맨션 11동 102호,서울특별시 용산구 이촌로 248 11동 102호 (이촌동 한강맨션),4426,베이동물병원
3030000,3.03E+17,20140901,,1,영업/정상,0,정상,,,,,02-3394-7530,111.1,,서울특별시 성동구 용답동 74-2번지 ,서울특별시 성동구 천호대로 288 (용답동),4804,24시LC동물의료센터
