,구분,업체명,전화번호,소재지,인허가번호
52,위탁관리,Show Dog,***********,서울특별시 성동구 행당동,303000003720180047
53,위탁관리,서울숲 개구쟁이,0222819005,서울특별시 성동구 금호동4가,303000003720180051
54,위탁관리,스테이 동물병원,***********,서울특별시 성동구 옥수동,303000003720180044
55,위탁관리,이윤세동물병원,***********,서울특별시 성동구 행당동,303000003720180049
56,위탁관리,왕십리조은동물병원,***********,서울특별시 성동구 하왕십리동,303000003720180053
57,위탁관리,위대한캣츠빌,024646268,서울특별시 성동구 성수동2가,303000003720180030
58,위탁관리,금호동물병원,***********,서울특별시 성동구 금호동2가,303000003720180035
59,위탁관리,버블퍼피,***********,서울특별시 성동구 하왕십리동,303000003720180038
60,위탁관리,서울숲동물병원,024662475,서울특별시 성동구 성수동2가,303000003720180039
61,위탁관리,강아지song,024668543,서울특별시 성동구 송정동,303000003720180019
62,위탁관리,마이뷰티독,***********,서울특별시 성동구 상왕십리동,303000003720180024
63,위탁관리,함께하는 동물병원,0222993283,서울특별시 성동구 옥수동,303000003720180018
64,위탁관리,한양동물메디컬센터,***********,서울특별시 성동구 행당동,303000003720180012
65,위탁관리,펫365동물병원,0222823653,서울특별시 성동구 금호동4가,303000003720180008
66,위탁관리,(주)이마트 성수점 몰리스,02-2104-5024,서울특별시 성동구 성수동2가,303000003720180001
67,위탁관리,toutou miel,***********,서울특별시 광진구 중곡동,304000003720210008
68,위탁관리,펠리스 펫(웰니스),***********,서울특별시 광진구 자양동,304000003720200008
69,위탁관리,아낌,***********,서울특별시 광진구 구의동,304000003720200007
70,위탁관리,김언니 펫살롱,02-456-6996,서울특별시 광진구 자양동,304000003720190013
71,위탁관리,디어독,02-499-6678,서울특별시 광진구 자양동,304000003720190011
72,위탁관리 미용,Canine Bath House,***********,서울특별시 광진구 자양동,304000003720190008
73,위탁관리,엄마 잘 다녀와,02-446-0123,서울특별시 광진구 중곡동,304000003720190009
74,위탁관리,컴투펫,***********,서울특별시 광진구 자양동,304000003720190002
75,위탁관리,버블링,***********,서울특별시 광진구 자양동,304000003720180080
76,위탁관리,bijou pet(비쥬펫),02-446-1110,서울특별시 광진구 화양동,304000003720180077
77,위탁관리,와사비네집,02-454-1010,서울특별시 광진구 중곡동,304000003720180076
78,위탁관리,쥬라기동물병원,02-455-7570,서울특별시 광진구 광장동,304000003720180073
79,위탁관리,이쁘개멋있개,02-6439-1253,서울특별시 광진구 군자동,304000003720180071
80,위탁관리,댕댕이집합소,***********,서울특별시 광진구 구의동,304000003720180069
81,위탁관리,동서울동물병원,02-444-7533,서울특별시 광진구 광장동,304000003720180068
82,위탁관리,광진24시 필동물병원,02-446-8175,서울특별시 광진구 구의동,304000003720180062
83,위탁관리,개판오분전,02-462-7080,서울특별시 광진구 중곡동,304000003720180058
84,위탁관리,로얄에이알씨(주),02-468-0955,서울특별시 광진구 자양동,304000003720180056
85,위탁관리,베이비독,070-7608-4184,서울특별시 광진구 자양동,304000003720180052
86,위탁관리,중앙애견,02-455-0015,서울특별시 광진구 자양동,304000003720180045
87,위탁관리,나루동물병원,02-457-7582,서울특별시 광진구 광장동,304000003720180047
88,위탁관리,스마트동물병원 군자점,02-464-7582,서울특별시 광진구 중곡동,304000003720180030
89,위탁관리,방주종합동물병원,02-454-9975,서울특별시 광진구 중곡동,304000003720180027
90,위탁관리,피카소 동물병원 미용,***********,서울특별시 광진구 화양동,304000003720180025
91,위탁관리,준동물병원,-,서울특별시 광진구 자양동,304000003720180018
92,위탁관리,서울동물병원,***********,서울특별시 광진구 중곡동,304000003720180005
93,위탁관리,신나개,02-2215-3353,서울특별시 동대문구 장안동,305000003720210002
94,위탁관리,아이원 동물병원,02-2217-8930,서울특별시 동대문구 답십리동,305000003720200016
95,위탁관리,호야펫살롱,***********,서울특별시 동대문구 장안동,305000003720200014
96,위탁관리,푸른종합동물병원,02-963-7582,서울특별시 동대문구 청량리동,305000003720200010
97,위탁관리,제연동물병원,02-2242-7975,서울특별시 동대문구 전농동,305000003720200005
98,위탁관리,펫샵몽,02-2212-5079,서울특별시 동대문구 휘경동,305000003720200002
99,위탁관리,꽃길만 걷개,***********,서울특별시 동대문구 장안동,305000003720190020
100,위탁관리,사랑해줄개,***********,서울특별시 동대문구 이문동,305000003720190018
101,위탁관리,견우,***********,서울특별시 동대문구 장안동,305000003720190015
102,위탁관리,펫119,02-593-5119,서울특별시 동대문구 답십리동,305000003720190012
103,위탁관리,빈스독,***********,서울특별시 동대문구 이문동,305000003720190007
104,위탁관리,시현펫살롱,02-967-7900,서울특별시 동대문구 이문동,305000003720190004
105,위탁관리,도그 하우스,***********,서울특별시 동대문구 제기동,305000003720180069
106,위탁관리,아띠 동물의료센터,02-6242-8275,서울특별시 동대문구 전농동,305000003720180059
107,위탁관리,마이티 그루밍(동대문점),02-2242-6547,서울특별시 동대문구 휘경동,305000003720180056
108,위탁관리,"페트로(Petro, 동물병원)",02-2249-7600,서울특별시 동대문구 장안동,305000003720180053
109,위탁관리,까네지노,02-3394-8542,서울특별시 동대문구 답십리동,305000003720180048
110,위탁관리,버블독,***********,서울특별시 동대문구 장안동,305000003720180050
111,위탁관리,주주 동물병원,02-2244-1081,서울특별시 동대문구 전농동,305000003720180044
112,위탁관리,둥글개 둥글개,02-2242-2249,서울특별시 동대문구 장안동,305000003720180037
113,위탁관리,현대종합펫(현대동물병원),02-2212-7596,서울특별시 동대문구 장안동,305000003720180036
114,위탁관리,하이유 동물병원,02-2242-7510,서울특별시 동대문구 답십리동,305000003720180034
115,위탁관리,그루밍살롱 마루네,***********,서울특별시 동대문구 장안동,305000003720180030
116,위탁관리,스마트 동물병원,02-2242-0175,서울특별시 동대문구 장안동,305000003720180028
117,위탁관리,뉴월드 동물병원,02-2212-5233,서울특별시 동대문구 답십리동,305000003720180023
118,위탁관리,디아크 동물병원,02-960-7501,서울특별시 동대문구 청량리동,305000003720180022
119,위탁관리,더케이 동물병원,02-2213-8875,서울특별시 동대문구 답십리동,305000003720180017
120,위탁관리,바론 동물의료센터,02-965-0075,서울특별시 동대문구 이문동,305000003720180019
121,위탁관리,엘 동물병원,02-3295-3927,서울특별시 동대문구 용두동,305000003720180012
122,위탁관리,퍼피테일,02-3394-8588,서울특별시 동대문구 답십리동,305000003720180007
123,위탁관리,미니 앤 바니 애견샵,02-3394-5705,서울특별시 동대문구 장안동,305000003720180005
124,위탁관리,마리앤독,02-487-3424,서울특별시 중랑구 중화동,306000003720210015
125,위탁관리,내안에너있DOG,***********,서울특별시 중랑구 신내동,306000003720200010
126,위탁관리,댕댕살롱,-,서울특별시 중랑구 면목동,306000003720200005
127,위탁관리,아이봄동물병원,***********,서울특별시 중랑구 신내동,306000003720190021
128,위탁관리,지앤에프,492-6344,서울특별시 중랑구 면목동,306000003720190019
129,위탁관리,카페개인,***********,서울특별시 중랑구 면목동,306000003720190015
130,위탁관리,개발소,***********,서울특별시 중랑구 면목동,306000003720190005
131,위탁관리,몽스토리,***********,서울특별시 중랑구 망우동,306000003720190009
132,위탁관리,말랑말랑,-,서울특별시 중랑구 중화동,306000003720180080
133,위탁관리,태능동물병원 펫샵,070-7780-9519,서울특별시 중랑구 묵동,306000003720180078
134,위탁관리,디자인펫샵,1599-9676,서울특별시 중랑구 면목동,306000003720180074
135,위탁관리,닥터아이펫 동물병원,0222080329,서울특별시 중랑구 상봉동,306000003720180067
136,위탁관리,우아하개,***********,서울특별시 중랑구 면목동,306000003720180061
137,위탁관리,홍상희동물병원,02-974-0339,서울특별시 중랑구 묵동,306000003720180064
138,위탁관리,개날라리,***********,서울특별시 중랑구 면목동,306000003720180059
139,위탁관리,주식회사 알에이엠씨로얄지점,6215-0955,서울특별시 중랑구 중화동,306000003720180056
140,위탁관리,금란동물애견,***********,서울특별시 중랑구 망우동,306000003720180051
141,위탁관리,쁘띠멍,***********,서울특별시 중랑구 면목동,306000003720180055
142,위탁관리,수애견,***********,서울특별시 중랑구 묵동,306000003720180046
143,위탁관리,사랑해줄개,02-435-2082,서울특별시 중랑구 신내동,306000003720180048
144,위탁관리,큐티펫,***********,서울특별시 중랑구 면목동,306000003720180041
145,위탁관리,순진한 강아지,***********,서울특별시 중랑구 망우동,306000003720180039
146,위탁관리,숲속동물병원,***********,서울특별시 중랑구 면목동,306000003720180037
147,위탁관리,러블리펫,***********,서울특별시 중랑구 묵동,306000003720180027
148,위탁관리,진실이네 애견샵,***********,서울특별시 중랑구 면목동,306000003720180032
149,위탁관리,진서동물병원,02-432-7545,서울특별시 중랑구 신내동,306000003720180012
150,위탁관리,몽몽이#,***********,서울특별시 중랑구 면목동,306000003720180004
151,위탁관리,땡일리 강아지 유치원,-,서울특별시 성북구 장위동,307000003720210010
152,위탁관리,강아지카페 카페개네,***********,서울특별시 성북구 동선동2가,307000003720210008
153,위탁관리,VOVOPET,02-942-2141,서울특별시 성북구 길음동,307000003720200012
154,위탁관리,블랑프리미엄펫,02-927-2256,서울특별시 성북구 동선동1가,307000003720200007
155,위탁관리,캣츠아일랜드,***********,서울특별시 성북구 돈암동,307000003720200001
156,위탁관리,더편한동물병원,02-982-7975,서울특별시 성북구 길음동,307000003720190033
157,위탁관리,마이도그(My Dog),02-969-6139,서울특별시 성북구 석관동,307000003720190021
158,위탁관리,카카오N동물병원,02-942-4883,서울특별시 성북구 길음동,307000003720190017
159,위탁관리,행복하개키울고양,***********,서울특별시 성북구 안암동2가,307000003720190015
160,위탁관리,호펫 강아지 고양이 성신여대본점,0507-1306-9216,서울특별시 성북구 동선동3가,307000003720190012
161,위탁관리,이쁘니 이발소,02-922-1044,서울특별시 성북구 동소문동7가,307000003720190005
162,위탁관리,한사랑펫,02-743-7582,서울특별시 성북구 성북동1가,307000003720180043
163,위탁관리,한사랑동물병원,02-743-7582,서울특별시 성북구 성북동1가,307000003720180044
164,위탁관리,호담동물병원,02-915-5301,서울특별시 성북구 하월곡동,307000003720180036
165,위탁관리,스마트동물병원 성북길음점,02-941-5575,서울특별시 성북구 길음동,307000003720180028
166,위탁관리,넬동물의료센터,02-6925-4347,서울특별시 성북구 하월곡동,307000003720180030
167,위탁관리,페리독,02-921-6654,서울특별시 성북구 동소문동6가,307000003720180018
168,위탁관리,야옹아 멍멍해봐,02-953-0049,서울특별시 성북구 삼선동5가,307000003720180014
169,위탁관리,행복하개,02-6316-3500,서울특별시 성북구 장위동,307000003720180012
170,위탁관리,토미펫샵,070-8864-4242,서울특별시 성북구 삼선동2가,307000003720180008
171,위탁관리,앙리동물병원,02-766-7577,서울특별시 성북구 성북동,307000003720180007
172,위탁관리,털좀밀개,02-997-1777,서울특별시 강북구 수유동,308000003720210002
173,위탁관리,리독,***********,서울특별시 강북구 수유동,308000003720200006
174,위탁관리,멍멍슈퍼,***********,서울특별시 강북구 수유동,308000003720200003
175,위탁관리,멍멍이발소,***********,서울특별시 강북구 수유동,308000003720200001
176,위탁관리,coco puppy,980-9589,서울특별시 강북구 미아동,308000003720190011
177,위탁관리,아이사랑 동물병원,02-946-0011,서울특별시 강북구 미아동,308000003720190006
178,위탁관리,솔샘펫,***********,서울특별시 강북구 미아동,308000003720190001
179,위탁관리,H 동물병원,02-984-7588,서울특별시 강북구 미아동,308000003720180028
180,위탁관리,위드벳홀딩스 주식회사,02-907-1565,서울특별시 강북구 수유동,308000003720180025
181,위탁관리,24시 수유 바른펫 동물의료센터,02-903-7582,서울특별시 강북구 수유동,308000003720180022
182,위탁관리,펫시터(애견호텔)라울레미 하우스,-,서울특별시 강북구 미아동,308000003720180017
183,위탁관리,버블펫,02-987-9808,서울특별시 강북구 미아동,308000003720180016
184,위탁관리,꽃보다 개,***********,서울특별시 강북구 수유동,308000003720180014
185,위탁관리,나라 앤 송이 애견샵,-,서울특별시 강북구 수유동,308000003720180009
186,위탁관리,몽앤츄,***********,서울특별시 도봉구 창동,309000003720210001
187,위탁관리,푹쉬개 애견샵,***********,서울특별시 도봉구 창동,309000003720200014
188,위탁관리,waldog(왈독),***********,서울특별시 도봉구 창동,309000003720200012
189,위탁관리,고놈들,-,서울특별시 도봉구 쌍문동,309000003720200008
190,위탁관리,두부네,-,서울특별시 도봉구 방학동,309000003720200005
191,위탁관리,사랑해줄개,-,서울특별시 도봉구 도봉동,309000003720200002
192,위탁관리,푼푼호텔,***********,서울특별시 도봉구 쌍문동,309000003720190016
193,위탁관리,(주)마이리틀프렌드 도봉지점,02-955-4445,서울특별시 도봉구 방학동,309000003720190013
194,위탁관리,도그송,02-900-9069,서울특별시 도봉구 창동,309000003720190010
195,위탁관리,강아지풀,02-999-5073,서울특별시 도봉구 창동,309000003720190009
196,위탁관리,핑크퍼피(PINKPUPPY),***********,서울특별시 도봉구 도봉동,309000003720190001
197,위탁관리,강아지세상,02-999-9273,서울특별시 도봉구 쌍문동,309000003720180049
198,위탁관리,하비동물병원,02-2038-9980,서울특별시 도봉구 창동,309000003720180047
199,위탁관리,(주)비에이치벳홀딩스,02-3494-0075,서울특별시 도봉구 방학동,309000003720180043
200,위탁관리,쌍문동 댕댕이네,***********,서울특별시 도봉구 쌍문동,309000003720180035
201,위탁관리,365동물병원,0264020365,서울특별시 도봉구 방학동,309000003720180031
202,위탁관리,몽블리펫,029902783,서울특별시 도봉구 창동,309000003720180024
203,위탁관리,애견놀이터,029918225,서울특별시 도봉구 쌍문동,309000003720180016
204,위탁관리,강북우리동물의료센터,999-7582,서울특별시 도봉구 창동,309000003720180012
205,위탁관리,댕댕스토리,02-6012-2040,서울특별시 노원구 상계동,310000003720210007
206,위탁관리,웰리스동물병원,02-978-4775,서울특별시 노원구 중계동,310000003720210002
207,위탁관리,개와커피가썸타는날(개썸커피),-,서울특별시 노원구 상계동,310000003720200017
208,위탁관리,애견미용 견출지 노원점,***********,서울특별시 노원구 상계동,310000003720200014
209,위탁관리,아이엠독,02-951-0907,서울특별시 노원구 상계동,310000003720200012
210,위탁관리,독스미스,-,서울특별시 노원구 상계동,310000003720200011
211,위탁관리,나나펫(NaNaPet),02-935-0326,서울특별시 노원구 중계동,310000003720200004
212,위탁관리,개과천선,***********,서울특별시 노원구 상계동,310000003720190026
213,위탁관리,도그마루 노원점,***********,서울특별시 노원구 상계동,310000003720190024
214,위탁관리,개다방,02-933-1253,서울특별시 노원구 상계동,310000003720190018
215,위탁관리,도니바니 애견카페,02-933-1456,서울특별시 노원구 상계동,310000003720190017
216,위탁관리,똑똑독,02-930-9997,서울특별시 노원구 상계동,310000003720190015
217,위탁관리,아담스펫강아지&가필드고양이,***********,서울특별시 노원구 상계동,310000003720190012
218,위탁관리,소담 살롱,***********,서울특별시 노원구 상계동,310000003720190006
219,위탁관리,루프독 1027,***********,서울특별시 노원구 공릉동,310000003720190004
220,위탁관리,루피네,02-933-9998,서울특별시 노원구 상계동,310000003720180065
221,위탁관리,카페멍스,02-933-7779,서울특별시 노원구 상계동,310000003720180061
222,위탁관리,유림동물병원,02-900-7710,서울특별시 노원구 월계동,310000003720180057
223,위탁관리,닥터스종합동물병원,02-905-7588,서울특별시 노원구 월계동,310000003720180059
224,위탁관리,파트라슈,02-939-2487,서울특별시 노원구 중계동,310000003720180054
225,위탁관리,수락동물병원,02-937-9724,서울특별시 노원구 상계동,310000003720180048
226,위탁관리,메인동물메디컬센터,02-979-8575,서울특별시 노원구 공릉동,310000003720180038
227,위탁관리,스마일플러스동물병원,02-976-7582,서울특별시 노원구 공릉동,310000003720180028
228,위탁관리,한빛종합동물병원,02-951-7582,서울특별시 노원구 상계동,310000003720180025
229,위탁관리,엔젤동물병원,02-977-0275,서울특별시 노원구 공릉동,310000003720180023
230,위탁관리,애견카페 개그멍,02-931-5275,서울특별시 노원구 상계동,310000003720180020
231,위탁관리,MOMO,070-8229-2525,서울특별시 노원구 월계동,310000003720180012
232,위탁관리,핫독,02-949-6555,서울특별시 노원구 공릉동,310000003720180007
233,위탁관리,별이&체리,***********,서울특별시 은평구 응암동,311000003720210004
234,위탁관리,어울동물의료센터,023841110,서울특별시 은평구 녹번동,311000003720200018
235,위탁관리,낭만고양이,0260144777,서울특별시 은평구 응암동,311000003720200015
236,위탁관리,몽슈슈 강아지,***********,서울특별시 은평구 진관동,311000003720200004
237,위탁관리,The 이뿌개,***********,서울특별시 은평구 응암동,311000003720200002
238,위탁관리,honapet(호나펫),02-353-5803,서울특별시 은평구 응암동,311000003720190018
239,위탁관리,애견미니호텔,***********,서울특별시 은평구 응암동,311000003720190015
240,위탁관리,메르시몽프레,***********,서울특별시 은평구 불광동,311000003720190010
241,위탁관리,디어도그,***********,서울특별시 은평구 응암동,311000003720190004
242,위탁관리,도그펠리스,***********,서울특별시 은평구 진관동,311000003720190001
243,위탁관리,해피멍,***********,서울특별시 은평구 역촌동,311000003720180079
244,위탁관리,도그원,353-3858,서울특별시 은평구 갈현동,311000003720180075
245,위탁관리,고마워 MIN,3152-0112,서울특별시 은평구 역촌동,311000003720180070
246,위탁관리,메디펫 동물병원,384-0075,서울특별시 은평구 갈현동,311000003720180063
247,위탁관리,퍼피하우스,6012-7477,서울특별시 은평구 신사동,311000003720180062
248,위탁관리,금쪽같은 내새끼 동물병원,384-7743,서울특별시 은평구 갈현동,311000003720180055
249,위탁관리,Dr.윤24시동물병원,359-2020,서울특별시 은평구 대조동,311000003720180050
250,위탁관리,우리덕구 동물병원,6953-8275,서울특별시 은평구 진관동,311000003720180035
251,위탁관리,한빛동물병원,382-7511,서울특별시 은평구 진관동,311000003720180033
252,위탁관리,미용하는 강아지,***********,서울특별시 은평구 증산동,311000003720180042
253,위탁관리,은평애견,***********,서울특별시 은평구 역촌동,311000003720180030
254,위탁관리,행복한 강아지,353-1555,서울특별시 은평구 갈현동,311000003720180027
255,위탁관리,미니펫,02-357-9111,서울특별시 은평구 응암동,311000003720180020
256,위탁관리,미미에토,070-4900-6140,서울특별시 서대문구 연희동,312000003720210013
257,위탁관리 미용,Hello,***********,서울특별시 서대문구 북가좌동,312000003720210011
258,위탁관리,우연희,070-8672-2579,서울특별시 서대문구 연희동,312000003720210009
259,위탁관리,바오펫살롱,***********,서울특별시 서대문구 연희동,312000003720210007
260,위탁관리,펫티즈,02-333-7762,서울특별시 서대문구 연희동,312000003720210005
261,위탁관리,GAEKOS Family,***********,서울특별시 서대문구 연희동,312000003720210002
262,위탁관리,연희동 미미네,***********,서울특별시 서대문구 연희동,312000003720200015
263,위탁관리 미용 운송,BOSS PUPPY,***********,서울특별시 서대문구 연희동,312000003720200014
264,위탁관리,아이 러브 펫,***********,서울특별시 서대문구 홍제동,312000003720200012
265,위탁관리,링크애견샵,02-393-7577,서울특별시 서대문구 북아현동,312000003720200009
266,위탁관리,개들의 왕국,025531512,서울특별시 서대문구 대현동,312000003720200003
267,위탁관리,퍼피독,023250853,서울특별시 서대문구 창천동,312000003720200002
268,위탁관리,썬 개린이집,***********,서울특별시 서대문구 연희동,312000003720190010
269,위탁관리,핑키펫,023790886,서울특별시 서대문구 홍은동,312000003720190004
270,위탁관리,카페 곳,07044069090,서울특별시 서대문구 홍제동,312000003720190003
271,위탁관리,mummui(멈무이),02-2088-5080,서울특별시 서대문구 홍제동,312000003720190002
272,위탁관리,은퇴한 수의사의 저택,02-303-7959,서울특별시 서대문구 홍은동,312000003720180055
273,위탁관리,퍼피하우스,02-362-9140,서울특별시 서대문구 북아현동,312000003720180049
274,위탁관리,러브펫,023134211,서울특별시 서대문구 영천동,312000003720180041
275,위탁관리,우리동물병원,023936675,서울특별시 서대문구 영천동,312000003720180015
276,위탁관리,스타일나개,02-363-0931,서울특별시 서대문구 옥천동,312000003720180002
277,위탁관리 미용,견살롱,***********,서울특별시 마포구 대흥동,313000003720210016
278,위탁관리,세븐에이치샵(7H#),***********,서울특별시 마포구 망원동,313000003720210013
279,전시 위탁관리 미용,겨울이 머무는 집,***********,서울특별시 마포구 서교동,313000003720210011
280,위탁관리 미용,멍멍벅스,***********,서울특별시 마포구 서교동,313000003720210010
281,위탁관리,반려독 (Band Your Dpg),***********,서울특별시 마포구 망원동,313000003720210005
282,위탁관리,독핏케어센터,02-3144-8723,서울특별시 마포구 합정동,313000003720210002
283,위탁관리,나만믿개,***********,서울특별시 마포구 상암동,313000003720200020
284,위탁관리 미용,감성그루밍,***********,서울특별시 마포구 대흥동,313000003720200014
285,위탁관리,마이펫 글리,***********,서울특별시 마포구 성산동,313000003720200011
286,위탁관리,워킹페코,***********,서울특별시 마포구 창전동,313000003720200008
287,위탁관리,플라잉펫,02-2138-3382,서울특별시 마포구 공덕동,313000003720190027
288,위탁관리,웰케어동물병원,337-7575,서울특별시 마포구 서교동,313000003720190021
289,위탁관리,다온펫샵,322-5585,서울특별시 마포구 노고산동,313000003720190018
290,위탁관리 미용,와우동물병원,375-1963,서울특별시 마포구 성산동,313000003720190010
291,위탁관리 미용,푸른숲동물병원,02-335-7577,서울특별시 마포구 서교동,313000003720190005
292,위탁관리,써니네,02-334-3712,서울특별시 마포구 동교동,313000003720180047
293,위탁관리,쥬쥬펫,02-6216-0028,서울특별시 마포구 연남동,313000003720180042
294,위탁관리,닥터호오 동물병원,02-715-0075,서울특별시 마포구 용강동,313000003720180034
295,위탁관리,목욕하는 강아지,716-5639,서울특별시 마포구 신수동,313000003720180030
296,위탁관리,구름뜬하늘,***********,서울특별시 마포구 서교동,313000003720180017
297,위탁관리,(주)독핏코리아,02-3144-8723,서울특별시 마포구 합정동,313000003720180010
298,위탁관리,즐거운 애견미용,02-324-8101,서울특별시 마포구 서교동,313000003720180009
299,위탁관리 미용,독앤독,02-704-5504,서울특별시 마포구 도화동,313000003720180005
300,위탁관리 미용,아이멍쥬,***********,서울특별시 양천구 신월동,314000003720210009
301,위탁관리 미용,서서울호수동물병원,0269598448,서울특별시 양천구 신월동,314000003720200040
302,위탁관리 미용,가나종합동물병원,0226457588,서울특별시 양천구 목동,314000003720200035
303,위탁관리 미용,리더스 동물병원,0226525475,서울특별시 양천구 신정동,314000003720200034
304,위탁관리 미용,POSH(포쉬),0226911245,서울특별시 양천구 신정동,314000003720200033
305,위탁관리 미용,양천종합동물병원,0226070022,서울특별시 양천구 신월동,314000003720200032
306,위탁관리 미용,파란동물병원,0226928255,서울특별시 양천구 신월동,314000003720200028
307,위탁관리 미용,몽스파목동점,-,서울특별시 양천구 목동,314000003720200027
308,위탁관리 미용,파란동물병원,02-2692-3358,서울특별시 양천구 신월동,314000003720200024
309,위탁관리,페토브 동물병원,***********,서울특별시 양천구 신정동,314000003720200021
310,위탁관리,별개,***********,서울특별시 양천구 신월동,314000003720200017
311,위탁관리,신월동물병원,2607-7502,서울특별시 양천구 신월동,314000003720200015
312,위탁관리,봄날동물병원,***********,서울특별시 양천구 목동,314000003720200011
313,위탁관리,이든반려견 문화센터,***********,서울특별시 양천구 신정동,314000003720200006
314,위탁관리,아이러브독 애견미용실,***********,서울특별시 양천구 신정동,314000003720200003
315,위탁관리,몽몽,-,서울특별시 양천구 신정동,314000003720200001
316,위탁관리,예뻐지개,-,서울특별시 양천구 신월동,314000003720190033
317,위탁관리,냥플레이스,-,서울특별시 양천구 목동,314000003720190029
