,구분,업체명,전화번호,소재지,인허가번호
41,전시,강아지정류장,02-3662-1207,서울특별시 강서구 염창동,315000003720190009
42,전시,고양이별 캣 카페,26586065,서울특별시 강서구 마곡동,315000003720180080
43,전시,노블도그,02-2606-6456,서울특별시 강서구 화곡동,315000003720180018
44,전시,버들강아지,***********,서울특별시 강서구 화곡동,315000003720180009
45,전시,"헬로우, 마루네 애견운동장",***********,서울특별시 구로구 오류동,316000003720210007
46,전시,냥카페 묘연,***********,서울특별시 금천구 시흥동,317000003720190010
47,전시,해피치 애견카페,***********,서울특별시 금천구 독산동,317000003720180022
48,전시,티앤캣,***********,서울특별시 동작구 대방동,319000003720200001
49,전시,피에스타,***********,서울특별시 관악구 봉천동,320000003720200010
50,전시,정글독,***********,서울특별시 관악구 신림동,320000003720190026
51,전시,방가댕댕,***********,서울특별시 관악구 봉천동,320000003720190015
52,전시,퍼피앤커피,02-883-1143,서울특별시 관악구 신림동,320000003720190005
53,전시,책읽는고양이,02-876-5397,서울특별시 관악구 봉천동,320000003720180094
54,전시,차르도르 애견카페,02-875-1999,서울특별시 관악구 봉천동,320000003720180078
55,전시,혼자두면 장판뜯어서 차린 개카페,02-887-3058,서울특별시 관악구 봉천동,320000003720180069
56,전시,고양이자리표,02-878-4677,서울특별시 관악구 신림동,320000003720180072
57,전시,독특하개,070-7655-4550,서울특별시 관악구 신림동,320000003720180061
58,전시,지니앤독,02-3285-7272,서울특별시 관악구 신림동,320000003720180014
59,전시,고지트,02-887-8935,서울특별시 관악구 신림동,320000003720180008
60,전시,고양이다락방,02-3481-3123,서울특별시 서초구 서초동,321000003720200007
61,전시,브이케어,02-6949-3023,서울특별시 서초구 반포동,321000003720190021
62,전시,동건스애견카페,025338146,서울특별시 서초구 방배동,321000003720180066
63,전시,집사의하루 강남점,02-555-7984,서울특별시 강남구 역삼동,322000003720200017
64,전시,히히냥냥,***********,서울특별시 강남구 역삼동,322000003720200013
65,전시,Pet.J,02-1522-2016,서울특별시 강남구 청담동,322000003720200008
66,전시,고양이라 좋은 날,02-556-3880,서울특별시 강남구 역삼동,322000003720190089
67,전시,두젠틀(DOGENTLE),***********,서울특별시 강남구 역삼동,322000003720180051
68,전시,강아지똥,***********,서울특별시 강남구 논현동,322000003720180025
69,전시 위탁관리,힐링몽,***********,서울특별시 송파구 문정동,323000003720210038
70,전시 위탁관리,위드멍,***********,서울특별시 송파구 석촌동,323000003720210037
71,전시,몽타운,***********,서울특별시 송파구 문정동,323000003720210019
72,전시,하우독,***********,서울특별시 송파구 송파동,323000003720210004
73,전시,멍멍멍,-,서울특별시 송파구 가락동,323000003720200010
74,전시 위탁관리,킨더독,***********,서울특별시 송파구 잠실동,323000003720200001
75,전시,홈펫(Home Pet),***********,서울특별시 송파구 송파동,323000003720190052
76,전시,멍얀트리,***********,서울특별시 송파구 문정동,323000003720190045
77,전시,냥냥하우스,-,서울특별시 강동구 강일동,324000003720210006
78,전시,뭉스벨리,***********,서울특별시 강동구 천호동,324000003720210002
79,전시,랙돌캐터리,***********,서울특별시 강동구 암사동,324000003720200015
80,전시,(주)에듀펫,02-577-6884,서울특별시 강동구 고덕동,324000003720200011
81,전시,미소펫,02-486-4589,서울특별시 강동구 길동,324000003720190022
82,전시,라라랜드,***********,부산광역시 중구 남포동3가,325000003720190001
83,전시,남포아지트,051-241-0901,부산광역시 중구 부평동2가,325000003720180020
84,전시,덕수네애견,051-245-2956,부산광역시 중구 광복동2가,325000003720180019
85,전시,고양이다락방,051-335-3123,부산광역시 중구 창선동2가,325000003720180015
86,전시,양이양이,051-253-0203,부산광역시 중구 남포동5가,325000003720180009
87,전시,다해줄게 멍멍아,051-808-8233,부산광역시 부산진구 전포동,329000003720210026
88,전시,매봉당,***********,부산광역시 부산진구 전포동,329000003720210006
89,전시,개팔자가 상팔자,***********,부산광역시 부산진구 양정동,329000003720200015
90,전시,애견동화,8184568,부산광역시 부산진구 양정동,329000003720200009
91,전시 위탁관리 미용,대신산업설비 피터펫카페 서면점,051-818-0119,부산광역시 부산진구 부전동,329000003720190012
92,전시,양이양이,051-817-5077,부산광역시 부산진구 부전동,329000003720180041
93,판매 전시,짧냥이네,051-816-0486,부산광역시 부산진구 부전동,329000003720180042
94,전시 위탁관리,덕수네 애견,051-804-2956,부산광역시 부산진구 전포동,329000003720180037
95,전시 위탁관리,개라모르겠다,051-804-1435,부산광역시 부산진구 전포동,329000003720180015
96,전시 위탁관리 미용,아껴줄개,051-532-2232,부산광역시 동래구 안락동,330000003720190007
97,전시,카페미남,051-520-2585,부산광역시 동래구 온천동,330000003720180046
98,전시,개톡(GAE TALK),051-503-2795,부산광역시 동래구 사직동,330000003720180039
99,전시 위탁관리,프란다스의개,051-502-2354,부산광역시 동래구 사직동,330000003720180027
100,전시,댕댕월드,***********,부산광역시 남구 용호동,331000003720200011
101,전시,덕수네애견,***********,부산광역시 남구 대연동,331000003720180048
102,전시,피터펫 애견카페 부산북구점,051-710-7110,부산광역시 북구 구포동,332000003720200009
103,전시,감자랑 커피랑,051-466-1276,부산광역시 북구 구포동,332000003720200007
104,전시 위탁관리 미용,영무 파라드 호텔,***********,부산광역시 해운대구 중동,333000003720200047
105,전시,주식회사브이브이아이피,051-715-5641,부산광역시 해운대구 우동,333000003720200011
106,전시,슈슈퍼피,051-702-6754,부산광역시 해운대구 좌동,333000003720180084
107,전시,테리몽하우스,051-747-6908,부산광역시 해운대구 좌동,333000003720180079
108,전시,하오쿠,***********,부산광역시 해운대구 송정동,333000003720180078
109,전시 위탁관리 미용,부산애견팡팡,***********,부산광역시 사하구 감천동,334000003720180037
110,전시 위탁관리 미용,하이댕댕,***********,부산광역시 사하구 다대동,334000003720200004
111,전시 위탁관리,너와 함께 반려견 카페,***********,부산광역시 사하구 괴정동,334000003720200001
112,전시 위탁관리 미용,씨티독,***********,부산광역시 사하구 다대동,334000003720180047
113,전시 위탁관리,맨앤독 애견카페,***********,부산광역시 사하구 당리동,334000003720190004
114,전시 위탁관리 미용,도그어바웃,***********,부산광역시 사하구 다대동,334000003720180021
115,전시,고양이카페 랙돌,***********,부산광역시 금정구 장전동,335000003720200001
116,전시,애견훈련소 보담,***********,부산광역시 금정구 구서동,335000003720190002
117,전시,모어스테이,051-728-3012,부산광역시 금정구 부곡동,335000003720180059
118,전시,양이양이,051-903-0200,부산광역시 금정구 장전동,335000003720180052
119,전시,캣스토리,***********,부산광역시 금정구 장전동,335000003720180003
120,전시,피터펫카페 가덕도점,***********,부산광역시 강서구 천성동,336000003720210003
121,전시,히어로키즈파크 명지지점,054-710-1666,부산광역시 강서구 명지동,336000003720190009
122,전시 위탁관리 미용,도그민,***********,부산광역시 수영구 민락동,338000003720190002
123,전시,우리집 첫째,***********,부산광역시 사상구 괘법동,339000003720190007
124,전시,히어로키즈파크 부산정관지점,***********,부산광역시 기장군 정관읍 매학리,340000003720200004
125,전시,어라운드1142,0517271525,부산광역시 기장군 정관읍 모전리,340000003720200001
126,전시,피터펫카페,051-727-3342,부산광역시 기장군 기장읍 내리,340000003720190021
127,전시,개들랜드,051-727-8256,부산광역시 기장군 장안읍 기룡리,340000003720180027
128,전시,디오지,***********,부산광역시 기장군 정관읍 매학리,340000003720180021
129,전시,낙원농원,051-508-7535,부산광역시 기장군 철마면 임기리,340000003720180011
130,전시,말랑캣,070-7757-4445,대구광역시 중구 동성로3가,341000003720190005
131,전시,고양이날다,985-4373,대구광역시 중구 삼덕동1가,341000003720190003
132,전시,힐링독,255-2218,대구광역시 중구 삼덕동1가,341000003720180015
133,전시,디캣,***********,대구광역시 중구 봉산동,341000003720180008
134,전시,와우쥬,***********,대구광역시 동구 율하동,342000003720200003
135,전시,피터펫,053-965-5668,대구광역시 동구 대림동,342000003720190007
136,전시,교감애견카페,***********,대구광역시 동구 중대동,342000003720180054
137,전시,에버노블,***********,대구광역시 동구 신서동,342000003720180006
138,전시,젠틀펫,586-3512,대구광역시 서구 중리동,343000003720190016
139,전시,멍멍이가(家),0533238864,대구광역시 북구 학정동,345000003720190013
140,전시,체리 퍼피앤캣,***********,대구광역시 수성구 만촌동,346000003720200043
141,전시,바른생활 고양이,***********,대구광역시 수성구 매호동,346000003720200039
142,전시,토끼야 놀자,-,대구광역시 수성구 중동,346000003720190042
143,전시,동행 Project,053-793-3060,대구광역시 수성구 매호동,346000003720190041
144,전시,아이러브독도,053-285-3434,대구광역시 달서구 신당동,347000003720180079
145,전시,디어마이도그,070-8805-8542,대구광역시 달서구 월성동,347000003720180042
146,전시,캣월드,***********,대구광역시 달서구 두류동,347000003720180006
147,전시,퍼피솔루션,***********,대구광역시 달성군 다사읍 세천리,348000003720200010
148,전시 위탁관리 미용,우프우프,032-752-8588,인천광역시 중구 중산동,349000003720180020
149,수입 판매 전시 위탁관리 미용 운송,개떼라떼,***********,인천광역시 미추홀구 도화동,351050003720210010
150,전시 위탁관리,봉봉애견카페호텔,***********,인천광역시 미추홀구 숭의동,351050003720210009
151,전시,멍튜브,070-7543-4208,인천광역시 미추홀구 주안동,351050003720200023
152,판매 전시 위탁관리 미용,캣썸플레이스,***********,인천광역시 미추홀구 주안동,351000003720180016
153,전시 미용,고양이자리,-,인천광역시 연수구 연수동,352000003720200014
154,판매 전시 위탁관리 미용,멍멍으르렁컹컹 부대찌개,***********,인천광역시 연수구 연수동,352000003720190018
155,전시,멍머니,***********,인천광역시 남동구 서창동,353000003720210007
156,전시,도도한고양이,032-433-8584,인천광역시 남동구 구월동,353000003720200032
157,전시,랙돌카페냐옹,032-468-8482,인천광역시 남동구 구월동,353000003720200021
158,전시,새로,***********,인천광역시 남동구 논현동,353000003720190041
159,전시,인천개공원 카페,032-461-6021,인천광역시 남동구 장수동,353000003720190024
160,전시,화이트 요가냥,032-423-5511,인천광역시 남동구 논현동,353000003720190019
161,전시,리틀독,***********,인천광역시 남동구 간석동,353000003720180166
162,전시,멍집사,032-422-1990,인천광역시 남동구 구월동,353000003720180117
163,전시,쓰담쓰담애견카페,***********,인천광역시 남동구 만수동,353000003720180038
164,전시,도그아지트,032-212-4586,인천광역시 남동구 만수동,353000003720180007
165,전시,고양이발자국,***********,인천광역시 부평구 십정동,354000003720200033
166,전시,반려스타,***********,인천광역시 부평구 부개동,354000003720200009
167,전시,마리레시피&치치,032-505-5437,인천광역시 부평구 부평동,354000003720190005
168,전시,킹더도그,-,인천광역시 부평구 삼산동,354000003720180077
169,전시,오구구,-,인천광역시 부평구 부평동,354000003720180074
170,전시,펫톡 애견카페,070-7767-6021,인천광역시 부평구 부평동,354000003720180051
171,판매 전시 위탁관리,작은숲,***********,인천광역시 계양구 계산동,355000003720200006
172,전시,라쿤브라더스,032-555-4902,인천광역시 계양구 계산동,355000003720200003
173,판매 전시,미니몬스터,***********,인천광역시 계양구 임학동,355000003720200002
174,전시,묘랑 고양이 카페,***********,인천광역시 계양구 작전동,355000003720190019
175,전시 위탁관리 미용,개인생활펫,***********,인천광역시 계양구 계산동,355000003720190014
176,전시 위탁관리 미용,도로시지켜줄개,***********,인천광역시 계양구 효성동,355000003720180021
177,판매 전시 위탁관리 미용,어스독 인천점,***********,인천광역시 서구 가좌동,356000003720210004
178,전시 위탁관리 미용,포근하개,***********,인천광역시 서구 마전동,356000003720200036
179,전시,주스주스,***********,인천광역시 서구 가좌동,356000003720200027
180,전시,그린도그(GREEN DOG),-,인천광역시 서구 청라동,356000003720200010
181,판매 전시 위탁관리 미용,제이블랑,***********,인천광역시 서구 청라동,356000003720200003
182,전시 위탁관리,똑똑개세요,***********,인천광역시 서구 가정동,356000003720190031
183,전시 위탁관리 미용,카페왈,***********,인천광역시 서구 가정동,356000003720190028
184,수입 판매 전시 위탁관리 미용,KOZIT,***********,인천광역시 서구 청라동,356000003720190020
185,전시 위탁관리,멍글팩토리,***********,인천광역시 서구 석남동,356000003720190015
186,전시 미용,"아토,사랑스러워",***********,인천광역시 서구 청라동,356000003720190005
187,판매 전시,꽁지,***********,인천광역시 서구 청라동,356000003720180070
188,수입 판매 전시 위탁관리 미용,이카루스 팩토리,***********,인천광역시 서구 청라동,356000003720180065
189,판매 전시 위탁관리 미용,놀아주시개,-,인천광역시 서구 가좌동,356000003720180009
190,수입 판매 전시 위탁관리 미용 운송,스퀘어독스,0325681063,인천광역시 서구 연희동,356000003720180004
191,전시,러브독 애견카페,***********,인천광역시 강화군 내가면 외포리,357000003720180026
192,전시,고양이다방,***********,인천광역시 강화군 하점면 망월리,357000003720180017
193,전시,광주강아지분양 몽슈슈,***********,광주광역시 동구 대인동,359000003720190008
194,전시,플라잉독,062-233-7772,광주광역시 동구 황금동,359000003720180014
195,전시,꼬냥이까페,***********,광주광역시 동구 불로동,359000003720180011
196,전시,샤인독,-,광주광역시 남구 월산동,361000003720190020
197,전시,데일리펫 위드독스,070-4117-0918,광주광역시 북구 동림동,362000003720200011
198,전시,그루밍마벨,0625730558,광주광역시 북구 본촌동,362000003720180005
199,전시,데일리펫 위드독스,070-4117-0918,광주광역시 광산구 우산동,363000003720190026
200,전시,펀앤독,***********,광주광역시 광산구 신가동,363000003720190012
201,전시,냐옹냐옹고양이카페,***********,광주광역시 광산구 장덕동,363000003720180101
202,전시,빈티지399,-,광주광역시 광산구 용곡동,363000003720180058
203,전시,큐독,***********,광주광역시 광산구 복룡동,363000003720180061
204,전시,독라이프,***********,광주광역시 광산구 대산동,363000003720180034
205,전시,댕냥이네,***********,대전광역시 동구 가양동,364000003720210014
206,전시,헤이독,042-226-7380,대전광역시 중구 대흥동,365000003720180040
207,전시,데이즈,***********,대전광역시 중구 은행동,365000003720180042
208,전시,코이이누,***********,대전광역시 서구 둔산동,366000003720200050
209,전시,엑죠틱 고양이들이 키우는 불독 케세라세라,***********,대전광역시 서구 관저동,366000003720200024
210,전시,모할고양,***********,대전광역시 서구 관저동,366000003720190025
211,전시,돌봄,042-542-7515,대전광역시 서구 관저동,366000003720190018
212,전시,라빈,-,대전광역시 유성구 원신흥동,367000003720200030
213,전시,이스펫셜,***********,대전광역시 유성구 계산동,367000003720180013
214,전시,몽개몽개,***********,대전광역시 유성구 궁동,367000003720180006
215,전시,펫빌리지,***********,울산광역시 중구 성남동,369000003720210013
216,전시,개인공간,***********,울산광역시 중구 약사동,369000003720200019
217,전시,도그파우 애견카페,***********,울산광역시 중구 성안동,369000003720200015
218,전시,꼬양이 놀이터,***********,울산광역시 중구 성남동,369000003720200014
219,전시,모들카페(퍼피솔루션),***********,울산광역시 중구 성안동,369000003720200005
220,전시,포유,***********,울산광역시 중구 옥교동,369000003720190017
221,전시,스타고양이카페,***********,울산광역시 중구 반구동,369000003720180034
222,전시,야옹야옹 캣카페,***********,울산광역시 중구 성남동,369000003720180008
223,전시 위탁관리,멍셀 멍셀,***********,울산광역시 중구 다운동,369000003720180004
224,전시,퍼피마마,052-265-2492,울산광역시 남구 달동,370000003720210013
225,전시,care mate,***********,울산광역시 남구 삼산동,370000003720210006
226,전시,캐슬,0522568737,울산광역시 남구 달동,370000003720200023
227,전시,개꿀잼 애견카페,***********,울산광역시 남구 달동,370000003720200004
228,전시,단테,-,울산광역시 남구 신정동,370000003720180046
229,전시,B&B(바비브라운 비숑프리제),-,울산광역시 남구 삼산동,370000003720180004
230,전시,렛츠개릿,-,울산광역시 남구 신정동,370000003720180009
231,판매 전시 위탁관리 미용,리프패럿 (울산 매곡점),***********,울산광역시 북구 중산동,372000003720200004
232,전시,히어로키즈파크 울산지점,***********,울산광역시 북구 진장동,372000003720190011
233,전시,레스트펫,0522380033,울산광역시 울주군 서생면 위양리,373000003720200023
234,전시,너와 함께 할 개,052-716-0052,울산광역시 울주군 삼남면 교동리,373000003720190003
235,전시,？프레애견카페,052-245-9077,울산광역시 울주군 언양읍 서부리,373000003720180043
236,전시,고양이네 생선가게,***********,경기도 수원시 팔달구 매산로2가,374000003720210034
237,전시,해피주 동물카페 영통점,-,경기도 수원시 영통구 영통동,374000003720200071
238,전시,고양이산책,031-242-1776,경기도 수원시 팔달구 팔달로3가,374000003720200054
239,전시,고양이자리표,***********,경기도 수원시 영통구 영통동,374000003720200019
240,전시,해피주 동물카페 수원본점,***********,경기도 수원시 장안구 정자동,374000003720190093
241,전시,이웃집 고양이,***********,경기도 수원시 권선구 금곡동,374000003720190064
242,전시,고양이카페 냥,***********,경기도 수원시 팔달구 남수동,374000003720190024
243,전시,에코독,031-206-7070,경기도 수원시 영통구 신동,374000003720180235
244,전시,해피주 (수원권선점),***********,경기도 수원시 권선구 곡반정동,374000003720180219
245,전시,cafe WAL,031-239-4856,경기도 수원시 권선구 곡반정동,374000003720180211
246,전시,뭉스독,***********,경기도 수원시 권선구 금곡동,374000003720180185
247,전시,아가마미 고양이카페,***********,경기도 수원시 영통구 영통동,374000003720180181
248,전시,개편한세상,070-4038-2848,경기도 수원시 권선구 금곡동,374000003720180174
249,전시,카페 두유,031-297-3465,경기도 수원시 권선구 금곡동,374000003720180134
250,전시,아리엘언니,-,경기도 수원시 권선구 곡반정동,374000003720180073
251,전시,카페위드(Cafe With),***********,경기도 성남시 분당구 서현동,378000003720210007
252,전시,DDD,031-756-1616,경기도 성남시 수정구 창곡동,378000003720200042
253,전시,도그365,031-701-3650,경기도 성남시 분당구 서현동,378000003720200036
254,전시,멍타주,***********,경기도 성남시 중원구 성남동,378000003720200023
255,전시,못말리는 고양이,031-701-8838,경기도 성남시 분당구 서현동,378000003720200004
256,전시,카페다냥,***********,경기도 성남시 중원구 금광동,378000003720200003
257,전시,㈜미키펫코리아,031-605-9788,경기도 성남시 분당구 수내동,378000003720190090
258,전시,펫준애견카페강아지유치원,-,경기도 성남시 중원구 하대원동,378000003720190075
259,전시,다독다독,***********,경기도 성남시 분당구 운중동,378000003720190027
260,전시,더독,***********,경기도 성남시 분당구 석운동,378000003720190021
261,전시,마오네애견카페,-,경기도 성남시 분당구 정자동,378000003720190007
262,전시,묘한고양이,031-751-9276,경기도 성남시 중원구 성남동,378000003720180068
263,전시,퍼펫,***********,경기도 성남시 수정구 태평동,378000003720180062
264,전시,모찌네호캉스,***********,경기도 성남시 중원구 성남동,378000003720180052
265,전시,고양이별 작은아이,***********,경기도 성남시 수정구 창곡동,378000003720180043
266,전시,째즈고양이카페,031-705-9022,경기도 성남시 분당구 이매동,378000003720180036
267,전시,펫아일럿 본점,070-8193-2835,경기도 성남시 수정구 신흥동,378000003720180027
268,전시,낭만고양이,***********,경기도 의정부시 의정부동,382000003720210003
269,전시,커피앤퍼피,031-851-2224,경기도 의정부시 민락동,382000003720200008
270,전시,미어캣파크 의정부점,***********,경기도 의정부시 의정부동,382000003720190047
271,전시,뉴욕도그랜드,-,경기도 의정부시 민락동,382000003720190020
272,전시,이리오시개,***********,경기도 의정부시 의정부동,382000003720180131
273,전시,돌도리네,***********,경기도 의정부시 민락동,382000003720180125
274,전시,할리우독,***********,경기도 의정부시 가능동,382000003720180117
275,전시,동행,-,경기도 의정부시 민락동,382000003720180113
276,전시,애견깡패,031-847-7990,경기도 의정부시 의정부동,382000003720180097
277,전시,다양하개,***********,경기도 의정부시 의정부동,382000003720180078
278,전시,니즈,031-825-3592,경기도 의정부시 의정부동,382000003720180025
279,전시,헤이브로,-,경기도 안양시 만안구 석수동,383000003720200017
280,전시,힐링주,031-340-4411,경기도 안양시 동안구 관양동,383000003720200002
281,전시,오독스(O-DOX),***********,경기도 안양시 만안구 안양동,383000003720190024
282,전시,힐링캣,031-381-9755,경기도 안양시 동안구 호계동,383000003720180089
283,전시,하늘을 걷는 고양이 카페,070-4064-7647,경기도 안양시 동안구 호계동,383000003720180074
284,전시,킁킁,031-382-1616,경기도 안양시 동안구 호계동,383000003720180072
285,전시,위드독,031-473-8114,경기도 안양시 만안구 안양동,383000003720180047
286,전시,묘한사랑,032-653-4456,경기도 부천시 중동,386000003720210008
287,전시,쥬니멀(히히냥냥),-,경기도 부천시 심곡동,386000003720210007
288,전시,똥강아지,032-662-5333,경기도 부천시 중동,386000003720200045
289,전시,뽀독,032-346-0988,경기도 부천시 소사본동,386000003720190057
290,전시,사바나 코쉬카,***********,경기도 부천시 중동,386000003720180102
291,전시,커멍커멍,***********,경기도 부천시 상동,386000003720180052
292,전시 위탁관리,함께할개 사랑할개,0323297752,경기도 부천시 중동,386000003720180025
293,전시 위탁관리,우드앤도그,***********,경기도 부천시 오정동,386000003720180023
294,판매 전시,마이쥬,***********,경기도 광명시 하안동,390000003720190012
295,판매 전시 위탁관리 미용,멍스테이,02-897-6701,경기도 광명시 소하동,390000003720180027
296,전시,펫스토리 애견유치원,***********,경기도 평택시 고덕면 두릉리,391000003720200054
297,전시,쉐이크 테일,***********,경기도 평택시 비전동,391000003720200045
298,전시,삼층고양이 카페,***********,경기도 평택시 합정동,391000003720190055
299,전시,더독애견카페,***********,경기도 평택시 평택동,391000003720180124
300,전시,식빵굽냥,***********,경기도 평택시 비전동,391000003720180028
301,전시 위탁관리,놀멍,0507-1360-0211,경기도 안산시 단원구 고잔동,393000003720210025
302,전시 위탁관리 미용,웜웜,***********,경기도 안산시 단원구 고잔동,393000003720210005
303,전시 위탁관리 미용,하이멍멍,***********,경기도 안산시 단원구 초지동,393000003720200027
304,전시 위탁관리,드린겐애견학교,***********,경기도 안산시 상록구 양상동,393000003720200025
305,전시,멍멍아 준비땅,***********,경기도 안산시 단원구 고잔동,393000003720200015
306,전시 위탁관리 미용,개날라리,484-8658,경기도 안산시 상록구 월피동,393000003720190037
307,전시 위탁관리,gathering(개더링),***********,경기도 안산시 단원구 고잔동,393000003720190027
308,전시 위탁관리,루프앤독,***********,경기도 안산시 상록구 이동,393000003720190025
309,전시 위탁관리 미용,댕블리,***********,경기도 안산시 단원구 고잔동,393000003720190024
310,전시 위탁관리 미용,비컨드,414-0310,경기도 안산시 단원구 고잔동,393000003720180091
311,판매 전시 위탁관리 미용,개통령,***********,경기도 안산시 상록구 사동,393000003720180094
312,전시 위탁관리,오르치그로치,***********,경기도 안산시 단원구 고잔동,393000003720180089
313,전시 위탁관리 미용,(주)가나이십사시동물병원,402-4060,경기도 안산시 단원구 고잔동,393000003720180080
314,전시 위탁관리 미용,도그카페,4169489,경기도 안산시 상록구 부곡동,393000003720180061
315,판매 전시,드럼통고양이,031-408-9722,경기도 안산시 상록구 이동,393000003720180018
316,전시,코코앤몽펫카페,02-302-6607,경기도 고양시 덕양구 삼송동,394000003720200055
317,전시,DOG&U,-,경기도 고양시 덕양구 신원동,394000003720200027
318,전시,꾸꾸뚜뚜(COUCOU TOUTOU),070-4045-8851,경기도 고양시 덕양구 성사동,394000003720200002
319,전시,왈왈이 애견카페,-,경기도 고양시 일산동구 장항동,394000003720190095
320,전시,오늘의 개스트,***********,경기도 고양시 일산동구 장항동,394000003720190089
321,전시,안냥하세요,***********,경기도 고양시 일산서구 가좌동,394000003720190051
322,전시,왈왈이애견카페웨스턴돔점,***********,경기도 고양시 일산동구 장항동,394000003720190032
323,전시,이삭애견스쿨,031-961-6450,경기도 고양시 일산서구 대화동,394000003720190027
324,전시,왈왈펫카페,070-4603-2673,경기도 고양시 일산동구 식사동,394000003720190003
325,전시,몰리스펫샵 이마트 킨텍스점,031-936-1142,경기도 고양시 일산서구 대화동,394000003720180058
326,전시,착한퍼피,-,경기도 고양시 일산동구 장항동,394000003720180052
327,전시,강아지 놀이터,-,경기도 고양시 일산서구 덕이동,394000003720180042
328,전시,파파퍼피 DOG하우스,-,경기도 남양주시 별내동,399000003720200028
329,전시,고양이카페38.5,***********,경기도 남양주시 별내동,399000003720180073
330,전시,아쿠아 파크,***********,경기도 남양주시 별내동,399000003720180034
331,전시,이그조틱 코리아,-,경기도 남양주시 수석동,399000003720180007
332,전시,함께냥,***********,경기도 오산시 수청동,400000003720200011
333,전시,퍼피앤유,0313747007,경기도 오산시 원동,400000003720180007
334,전시,호수로 간 고양이,-,경기도 시흥시 은행동,401000003720210032
335,전시,히히냥냥,***********,경기도 시흥시 정왕동,401000003720210002
336,전시,리프패럿 경기목감점,***********,경기도 시흥시 산현동,401000003720200041
337,전시,리프패럿 배곧신도시점,***********,경기도 시흥시 정왕동,401000003720200037
338,전시,(주)위드독,0314342272,경기도 시흥시 정왕동,401000003720200008
339,전시,위드독,0314342272,경기도 시흥시 정왕동,401000003720200010
340,전시,그레이트펫 시흥점,***********,경기도 시흥시 배곧동,401000003720200005
341,전시,루비펫살롱,***********,경기도 시흥시 장현동,401000003720190027
